"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"N2 être V-n, Sfx = E";"binary";"N2 être V-n, Sfx = E";"N2 =: V-n";", 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"Sentence with noun-centered argument structure, with an object N2 as the subject, the verb être, and a deverbal noun related with V with an empty suffix";"Luc débroussaille l'allée de ces ronces = Ces ronces sont des broussailles ; On a asphalté la route de ce revêtement = Ce revêtement est de l'asphalte";"Phrase à prédicat nominal avec l'objet N2 comme sujet, le verbe être, et un nom déverbal lié à V avec un suffixe vide"
"N2 lieu de destination de N0";"binary";" ";;" ";"An object N2 is interpreted as the destination of the referent of the subject. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Le bus débouche de la rue sur la place";"L'objet N2 est interprété comme le lieu de destination du référent du sujet. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N2 lieu de destination de N1";"binary";"N2 destination";"Prép =: Loc";", 38L0";"An object N2 is interpreted as the destination of the referent of N1. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Paul souffle de l'air dans le ballon";"L'objet N2 est interprété comme le lieu de destination du référent de N1. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N2 lieu source de N1";"binary";" ";;" ";"An object N2 is interpreted as the source of the referent of N1. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"La grue a levé le bloc du sol";"L'objet N2 est interprété comme le lieu source du référent de N1. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N2 lieu statique de N1";"binary";" ";;" ";"An object N2 is interpreted as a place where the referent of an object N1 is before, during and after the process. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Bob cuit la porcelaine au four";"L'objet N2 est interprété comme un lieu où se situe le référent de l'objet N1 avant, pendant et après le procès. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N2 scénique être V-n";"binary";"N2dest être V-n";"N2dest = V-n";", 32A";"A locative modifier N2, with a scenic interpretation, can become the subject of a sentence with être and a deverbal noun related with V as a 'predicate nominative'";"Paul forge des objets dans cet atelier = Cet atelier est une forge";"Un complément locatif N2 à interprétation scénique peut devenir sujet d'une phrase avec être et un nom déverbal lié à V comme attribut du sujet"
"N2 scénique être V-n (forme V-n)";"lexical";" ";;", 32A";"Form of a deverbal noun morphologically associated with V, used when a locative modifier N2, with a scenic interpretation, becomes the subject of a sentence with être and the deverbal noun as a 'predicate nominative'";"forge";"Forme d'un nom déverbal lié à V, utilisé lorsqu'un complément locatif N2 à interprétation scénique devient sujet d'une phrase avec être et un nom déverbal lié à V comme attribut du sujet"
"N2 V N1";"binary";"N2 V N1";;", 32A, 32PL, 32RA, 36S, 36SL, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6, 38LD, 38LH, 38LR, 38R, 38RR, 39";"An object N2 can become the subject of a sentence with a direct object N1; the sentence is interpreted as a static result";"Luc assaisonne la salade de mayonnaise = De la mayonnaise assaisonne la salade ; Luc dissimule le sac derrière le rideau = Le rideau dissimule le sac ; On a représenté la chapelle par une croix = Une croix représente la chapelle";"L'objet N2 peut devenir le sujet d'une phrase avec l'objet direct N1 ; la phrase est interprétée comme un résultat statique"
"N3 =: ce(ci+la)";"binary";"N3 =: ce(ci+la)";;", 18";"A sentential complement N3 can pronominalize in the form of ceci or cela";"Paul paye une grosse somme à Luc pour que la lettre arrive à temps = Paul paye une grosse somme à Luc pour cela";"Une complétive objet N3 peut être pronominalisée sous la forme de ceci ou de cela"
"N3 =: de V1-inf W";"binary";"N3 =: V1-inf W";;", 18";"An object N3 can take the form of an infinitive clause introduced by the preposition de, with an implicit subject coreferent to an object N1";"Paul donne à Luc comme travail de faire ça";"L'objet N3 peut prendre la forme d'une infinitive introduite par la préposition de, avec un sujet implicite coréférent à l'objet N1"
"N3 =: le fait Qu P";"binary";"N3 =: le fait Qu P";;" ";"An object N3 can take the form le fait que P, close to a sentential complement, and denote an abstract entity";"On défend le métal de la corrosion par le fait que les embruns ne peuvent plus l'atteindre";"L'objet N3 peut prendre la forme le fait que P, proche d'une complétive et dénotant une entité abstraite"
"N3 =: Nhum";"binary";"N3 =: Nhum";;", 18";"An object N3 can denote a person";"Max défend la ville de bastions contre l'ennemi";"L'objet N3 peut dénoter une personne "
"N3 =: N-hum";"binary";"N3 =: N-hum";;", 18";"An object N3 can denote an entity which is not a person";"Paul désigne Luc à Léa pour cette corvée";"L'objet N3 peut dénoter une entité qui n'est pas une personne "
"N3 =: Npl obl";"binary";"N2 =: Npl obl";;", 32PL";"An object N3 is obligatorily in the plural or has a collective interpretation";"Paul répartit les élèves dans quatre classes";"L'objet N3 est obligatoirement pluriel ou a une interprétation collective"
"N3 =: Qu Pind";"binary";"N3 =: Qu P";;", 18";"An object N3 can take the form of a sentential complement in the indicative mood";"Paul mise cet argent sur Luc qu'il va gagner la course";"L'objet N3 peut prendre la forme d'une complétive à l'indicatif"
"N3 =: Qu Psubj";"binary";"N3 =: Qu Psubj";;", 18";"An object N3 can take the form of a sentential complement in the subjunctive mood";"Paul sert à Luc de complice pour qu'il fasse ça";"L'objet N3 peut prendre la forme d'une complétive au subjonctif"
"N3 =: V0-inf W";"binary";"N3 =: V0-inf W";;", 18";"An object N3 can take the form of an infinitive clause, with an implicit subject coreferent to the main subject";"J'obtiens une aide de Luc pour me soigner";"L'objet N3 peut prendre la forme d'une infinitive, avec un sujet implicite coréférent au sujet de la principale"
"N3 =: V1-inf W";"binary";"N3 =: V1-inf W";;", 18";"An object N3 can take the form of an infinitive clause, with an implicit subject coreferent to an object N1";"Ces querelles servent de prétexte à Luc pour sortir";"L'objet N3 peut prendre la forme d'une infinitive, avec un sujet implicite coréférent à l'objet N1"
"N3 =: V2-inf W";"binary";"N3 =: V2-inf W";;", 18";"An object N3 can take the form of an infinitive clause, with an implicit subject coreferent to an object N2";"Paul donne du temps à Luc pour faire ça";"L'objet N3 peut prendre la forme d'une infinitive, avec un sujet implicite coréférent à l'objet N2"
"N3 être V-n";"binary";"N2 =: V-n";"N2 être V-n";", 32PL";"Sentence with noun-centered argument structure, with an object N3 as the subject, the verb être, and a deverbal noun related with V";"Paul a classé les verbes dans ces dix groupes = Ces dix groupes sont des classes";"Phrase à prédicat nominal avec l'objet N3 comme sujet, le verbe être, et un nom déverbal lié à V"
"N3 être V-n (forme V-n)";"lexical";" ";;", 32PL";"Form of a deverbal noun morphologically associated with V, used  in a nominal sentence with an object N2 as the subject, the verb être, and the deverbal noun related";"classe";"Forme d'un nom déverbal lié à V dans une phrase à prédicat nominal avec l'objet N3 comme sujet, le verbe être, et le nom déverbal"
"N3 attache V N1";"binary";"N3attache V N1";"Nattache V N1
N2attache V N1";", 36SL";"A complement N3 attache denoting a tying system and interpreted as an instrument can become the subject of a sentence with a direct object N1; the sentence is interpreted as a static result";"Luc ligature les lèvres de la plaie d'un fil rouge = Un fil rouge ligature les lèvres de la plaie";"Un complément N3 attache dénotant un système d'attache et interprété comme un instrument peut devenir le sujet d'une phrase avec l'objet direct N1 ; la phrase est interprétée comme un résultat statique"
"N3 lieu de destination de N1";"binary";" ";;" ";"An object N3 is interpreted as the destination of the referent of N1. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Luc tracte la voiture de Gap à Dax";"L'objet N3 est interprété comme le lieu de destination du référent de N1. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N actif V N0";"binary";"Nactif V N0";;", 32NM";"The subject of the basic construction can be a direct object in a sentence with a subject denoting a person which is interpreted as active";"(La table mesure 3 mètres) Paul mesure la table";"Le sujet de la construction de base peut être objet direct dans une phrase dont le sujet dénote une personne interprétée comme active"
"Neg";"binary";;;", 1, 4, 5, 6, 7, 8, 9, 11, 12, 33, 31H, 31R, 32C, 32H, 32PL, 32R2, 32R3, 35LR, 35LS, 35R, 35RR, 35ST, 35ST, 36R, 38LR";"A negative adverb is obligatorily present";"Luc n'arrête pas d'être dérangé";"Présence obligatoire d'un adverbe de négation"
"où N0 V-il ?";"binary";"Où N0 V-il ?
Où N0 V-il N1 ?";"Où N0 V-il N1 ?";", 2, 2T";"In a sentence with a non-prepositional infinitive clause which has an implicit subject coreferent with that of the main verb, the infinitive clause answers a question with où and no other object";"Où Paul court-il ? - Il court chercher du vin";"Dans une phrase à infinitive directe dont le sujet est coréférent au sujet principal, l'infinitive répond à une question en où sans autre objet"
"où N0 V-il N1 ?";"binary";"Où N0 V-il ?
Où N0 V-il N1 ?";;", 3";"In a sentence with a non-prepositional infinitive clause which has an implicit subject coreferent with that of the main verb, the infinitive clause answers a question with où and a direct object N1";"Où Luc emmène-t-il Marie ? - Il emmène Marie voir un film";"Dans une phrase à infinitive directe dont le sujet est coréférent au sujet principal, l'infinitive répond à une question en où avec N1"
"'P', V N0 à N2";"binary";"'P', V N0 à N2";;", 9";"The sentential complement N1 can take the form of direct speech and appear in the beginning of the sentence; the subject is after the verb";"""Je vais au cinéma"", répond Luc à Léa";"La complétive objet N1 peut prendre la forme d'un discours direct et apparaître en tête de phrase ; le sujet est après le verbe"
"par N4";"binary";"par N3";;", 38L";"Additional locative object introduced by the preposition par and interpreted as a place of passage";"Luc passe le lit de la chambre dans le salon par le couloir";"Complément locatif supplémentaire introduit par la préposition par et interprété comme un lieu de passage"
"Ppv =: en";"binary";"Ppv =: en";;", 32A, 32PL, 35R, 35S, 36DT, 36S, 37E, 38LH, 38R";"Clitic pronominalization of an object introduced by the preposition de into en";"Max a dépouillé Ida de ses biens = Max en a dépouillé Ida ; L'au gicla du tonneau = L'eau en gicla ; Luc reçoit un colis de Marie = Luc en reçoit un colis";"Pronominalisation d'un objet introduit par la préposition de sous la forme du pronom préverbal en"
"Ppv =: en figé";"binary";;;", 1, 2, 2T, 3, 5, 7, 8, 15, 33, 31H, 31R, 32R2, 35L, 35R, 35RR, 35S";"The clitic pronoun en is frozen with the verb V";"Je n'en reviens pas de ce culot ; Luc s'en va";"Le pronom clitique en est figé avec le verbe V"
"Ppv =: la figé";"binary";;;", 31H";"The clitic pronoun la is frozen with the verb V";"Fermez-la";"Le pronom clitique la est figé avec le verbe V"
"Ppv =: le";"binary";"Ppv =: le";;", 32A, 32C, 32CL, 32CV, 32NM, 32RA, 36R, 36S, 38PL, 38R, 39";"Clitic pronominalization of a direct object N1 into le";"Paul compare Luc à un singe = Paul le compare à un singe ; Luc a bâti cette maison = Luc l'a bâtie ; On a élu Luc président = On l' a élu président";"Pronominalisation de l'objet direct N1 sous la forme du pronom préverbal le"
"Ppv =: le figé";"binary";;;", 31H, 35LS, 38R";"The clitic pronoun en is frozen with the verb V";"Je n'en reviens pas de ce culot ; Luc s'en va";"Le pronom clitique en est figé avec le verbe V"
"Ppv =: les figé";"binary";;;", 33";"The clitic pronoun les is frozen with the verb V";"Max les aligne à Luc";"Le pronom clitique les est figé avec le verbe V"
"Ppv =: lui";"binary";"Ppv =: lui";;", 33, 36R, 36S";"Clitic pronominalization of an object introduced by the preposition à into lui";"Luc obéit à Léa = Luc lui obéit ; Paul consacre de l'argent à son jardin = Paul lui consacre de l'argent";"Pronominalisation de l'objet introduit par la préposition à sous la forme du pronom préverbal lui"
"Ppv =: Neg";"binary";;;", 1, 4, 5, 6, 7, 8, 9, 11, 12, 33, 31H, 31R, 32C, 32H, 32PL, 32R2, 32R3, 35LR, 35LS, 35R, 35RR, 35ST, 35ST, 36R, 38LR";"The clitic pronoun ne is frozen with the verb V, even without any adverb of negation";"Luc n'arrête pas d'être dérangé ; Luc ne saurait dormir ici";"Le pronom clitique ne est figé avec le verbe V, même en l'absence d'un adverbe de négation"
"Ppv =: se figé";"binary";;;", 1, 2, 2T, 5, 6, 7, 8, 14, 15, 16, 18, 33, 32D, 32H, 32NM, 32R2, 32R3, 35L, 35LD, 35LR, 35LS, 35R, 35RR, 35S, 35ST, 38L0, 38L1, 38R";"The clitic pronoun se is frozen with the verb V";"Luc se réserve pour la nuit ; Luc s'en va";"Le pronom clitique se est figé avec le verbe V"
"Ppv =: y";"binary";"Ppv =: y";;", 32A, 32PL, 33, 34L0, 36DT, 36R, 36S, 38LD, 38LH, 38LR, 38LS, 38R";"Clitic pronominalization of an object introduced by a preposition into y";"Luc obéit à cette loi = Luc y obéit ; Luc punaise les notes sur le tableau = Luc y punaise les notes";"Pronominalisation de l'objet prépositionnel sous la forme du pronom préverbal y"
"Ppv =: y figé";"binary";;;", 31H, 31R, 35R";"The clitic pronoun y is frozen with the verb V";"Luc y va ; Luc s'y croit";"Le pronom clitique y est figé avec le verbe V"
"Prép N1 = Ppv";"binary";"ppv";" ";", 1";"A nominal object Prép N1 can pronominalize into a clitic; the preposition can be empty";"Paul est près d'une catastrophe = Paul en est près";"L'objet nominal Prép N1 peut être pronominalisé sous la forme d'un pronom préverbal ; la préposition peut être vide"
"Prép N1 =: à Nq";"binary";"Loc N1 =: à Nq";;", 5";"An object Prép N1 can have à as its preposition and an abstract noun as its head noun";"Il parvient à la conscience de Max que Luc était son ami";"L'objet Prép N1 peut avoir comme préposition à et comme nom tête un nom abstrait"
"Prép N1 =: dans Nq";"binary";"Loc N1 =: dans Nq";;", 5";"An object Prép N1 can have dans as its preposition and an abstract noun as its head noun";"Il intervient dans les négociations que Marie va partir";"L'objet Prép N1 peut avoir comme préposition dans et comme nom tête un nom abstrait"
"Prép N1 =: de Nq";"binary";"Loc N1 =: de Nq";;", 5";"An object Prép N1 can have de as its preposition and an abstract noun as its head noun";"Il est sorti de cette discussion que Luc fera du yoga";"L'objet Prép N1 peut avoir comme préposition de et comme nom tête un nom abstrait"
"Prép N1 =: Prép ce Qu P = Qu P";"binary";"[pc z.]";;", 7, 8, 14 , 15, 16 ";"Preposition and ce before a sentential complement N1 in que can be erased";"Luc s'aperçoit de ce que Marie l'a trompé à ce qu'elle est enceinte = Luc s'aperçoit que Marie l'a trompé à ce qu'elle est enceinte";"La préposition et ce peuvent être effacés devant une complétive objet N1 en que"
"Prép N1 =: Prép Qu P = Ppv";"binary";"Prép N1 =: Prép Qu P = Ppv";;", 7, 8, 14, 15, 16";"A sentential complement Prép N1 can pronominalize into a clitic; the preposition can be empty";"Paul parvient à ce que Luc l'aide = Paul y parvient ; Paul doute de ce que Luc puisse réussir = Luc en doute ; Luc doit que Marie reste à son physique = Luc le doit à son physique";"Une complétive objet Prép N1 peut être pronominalisée sous la forme d'un pronom préverbal ; la préposition peut être vide"
"Prép N1hum = Ppv";"binary";"Prép N1hum = Ppv";;", 5, 7, 8, 16, 18";"An object Prép N1, denoting a person, can pronominalize into a clitic; the preposition can be empty";"Faire ce travail plaît à Paul = Faire ce travail lui plaît ; Luc se méfie de Paul = Luc s'en méfie ; Luc préfère Marie à Léa = Luc la préfère à Léa";"L'objet Prép N1, dénotant une personne, peut être pronominalisé sous la forme d'un pronom préverbal ; la préposition peut être vide"
"Prép N1-hum = Ppv";"binary";"Prép N1-hum = Ppv";;", 7, 15, 16, 18";"An object Prép N1, denoting a non-human entity, can pronominalize into a clitic; the preposition can be empty";"Luc a survécu à cette épreuve = Luc y a survécu ; Paul parle de ça avec Luc = Paul en parle avec Luc ; Luc préfère le vin à l'eau = Luc le préfère à l'eau";"L'objet Prép N1, dénotant une entité non humaine, peut être pronominalisé sous la forme d'un pronom préverbal ; la préposition peut être vide"
"Prép N2 = Prép là";"binary";"Prép N3 = Prép là";;", 16";"A sentential complement Prép N2 can be pronominalized into Prép là; if the preposition is à, it is erased";"Max a extrapolé de ce que Léa était absente que Luc était revenu = Max a extrapolé de là que Luc était revenu ; Max ramène l'inflation à ce que la production a diminué = Max ramène là l'inflation";"La complétive Prép N2 peut être pronominalisée sous la forme Prép là ; si la préposition est à, elle est effacée"
"Prép N2 =: à Nq";"binary";"Loc N2 =: à Nq";;", 10";"An object Prép N2 can have à as its preposition and an abstract noun as its head noun";"Il intègre à son programme de partir à 3 h";"L'objet Prép N2 peut avoir comme préposition à et comme nom tête un nom abstrait"
"Prép N2 =: dans Nq";"binary";"Loc N2 =: dans Nq";;", 10";"An object Prép N2 can have dans as its preposition and an abstract noun as its head noun";"Il inclut dans son programme de partir à 3 h";"L'objet Prép N2 peut avoir comme préposition dans et comme nom tête un nom abstrait"
"Prép N2 =: de Nq";"binary";"Loc N2 =: de Nq";;", 10";"An object Prép N2 can have de as its preposition and an abstract noun as its head noun";"Il élimine de son programme que le départ puisse être retardé";"L'objet Prép N2 peut avoir comme préposition de et comme nom tête un nom abstrait"
"Prép N2 =: Prép ce Qu P = Qu P";"binary";"[pc z.]";;", 11, 13, 16";"Preposition and ce before a sentential complement N2 in que can be erased";"Luc s'est renseigné auprès de Marie de ce qu'il est invité = Luc s'est renseigné auprès de Marie qu'il est invité";"La préposition et ce peuvent être effacés devant une complétive objet N2 en que"
"Prép N2 =: Prép Qu P = Ppv";"binary";"Prép N2 =: Prép Qu P = Ppv";;", 11, 13, 16";"A sentential complement Prép N2 can pronominalize into a clitic";"On a autorisé Paul à faire ça = On l'y a autorisé ; Luc félicite Marie d'avoir fait ça = Luc l'en félicite";"Une complétive objet Prép N1 peut être pronominalisée sous la forme d'un pronom préverbal"
"Prép N2 N0 V N1";"binary";"Prép N2 N0 V N1";;", 16";"An object Prép N2 can appear at the beginning of the sentence";"Je tire une conclusion de cela = De cela je tire une conclusion";"L'objet Prép N2 peut apparaître en tête de phrase"
"Prép N2hum = Ppv";"binary";"Prép N2hum = Ppv";;", 9, 11, 15, 16, 18";"An object Prép N2, denoting a person, can pronominalize into a clitic";"Paul a crié à Luc de venir = Paul lui a crié de venir";"L'objet Prép N2, dénotant une personne, peut être pronominalisé sous la forme d'un pronom préverbal"
"Prép N2hum = Ppv =: lui";"binary";;;;"An object Prép N2 with a human meaning can be pronominalized into the clitic pronoun lui";"Max passe un stylo à Ida = Max lui passe un stylo";"L'objet Prép N2 à sens humain peut être pronominalisé sous la forme du pronom préverbal lui"
"Prép N2-hum = Ppv";"binary";"Prép N2-hum = Ppv";;", 9, 11, 15, 16, 18";"An object Prép N2, denoting a non-human entity, can pronominalize into a clitic";"Paul consacre son temps à l'écriture = Paul y consacre son temps";"L'objet Prép N2, dénotant une entité non humaine, peut être pronominalisé sous la forme d'un pronom préverbal"
"Prép N2-hum = Ppv =: lui";"binary";"Ppv =: lui";;", 36DT";"An object Prép N2 with a non-human meaning can be pronominalized into the clitic pronoun lui";"Paul a consacré ce rayon à ses bouquins sur César = Paul leur a consacré ce rayon";"L'objet Prép N2 à sens non humain peut être pronominalisé sous la forme du pronom préverbal lui"
"Prép N3 = Prép là";"binary";"Prép N3 = Prép là";;", 18";"A sentential complement Prép N3 can be pronominalized into Prép là; if the preposition is à, it is erased";"(no example known)";"La complétive Prép N3 peut être pronominalisée sous la forme Prép là ; si la préposition est à, elle est effacée"
"Prép N3 =: Prép Qu P = Ppv";"binary";"(pour+E) Qu P = Ppv";;", 18";"Clitic pronominalization of a sentential complement Prép N3; the preposition can be empty";"Max a donné à Luc comme principe qu'il devait avouer = Max l'a donné à Luc comme principe";"La complétive Prép N3 peut être pronominalisée sous la forme d'un pronom préverbal ; la préposition peut être vide"
"Prép N3hum = Ppv";"binary";"Ppv
pour N3hum = Ppv";;", 18";"Clitic pronominalization of an object Prép N3 denoting a person; the Prép can be empty";"Max a reçu de Luc comme otage un de ses enfants = Max l'a reçu de Luc comme otage";"Pronominalisation de l'objet Prép N3, dénotant une personne, sous la forme d'un pronom préverbal ; la Prép peut être vide"
"Prép N3-hum = Ppv";"binary";"Ppv
pour N3hum = Ppv";;", 18";"Clitic pronominalization of an object Prép N3 denoting a non-human entity; the Prép can be empty";"Paul a donné à Luc comme travail ce classement = Paul l'a donné à Luc comme travail";"Pronominalisation de l'objet Prép N3, dénotant une entité non humaine, sous la forme d'un pronom préverbal ; la Prép peut être vide"
"Prép V0-inf W = Ppv";"binary";"V0-inf W = Ppv";;", 1, 2, 2T ";"An infinitive clause taking the form Prép V0-inf W, with an implicit subject coreferent to the subject of the main clause, can pronominalize into a clitic; the preposition can be empty";"Paul s'empresse de démentir = Paul s'en empresse ; Paul court chercher du pastis = Paul y court";"L'infinitive de la forme Prép V0-inf W, avec un sujet implicite coréférent avec le sujet principal, peut être pronominalisée sous la forme d'un pronom préverbal ; la préposition peut être vide"
"Prép0 =: de";"binary";;;;"The subject can become an object introduced by the preposition de";"Les dauphins abondent dans la baie = La baie abonde de dauphins";"Le sujet peut devenir un objet introduit par la préposition de"
"Prép0 =: en";"binary";"Prép =: en";;", 34L0";"The subject can become an object introduced by the preposition en";"Les dauphins abondent dans la baie = La baie abonde en dauphins";"Le sujet peut devenir un objet introduit par la préposition en"
"Prép1";"lexical";"zone1";"zone";", 1, 5, 16, 18, 35R, 35RR";"Prepositions of the object N1";"Max va jusqu'à exiger des dommages : jusqu'à ; Le verre va tomber : <E> ; Qu'Ida est idiote éclate aux yeux de tous : Loc";"Prépositions de l'objet N1"
"Prép1 =: à";"binary";"Prép =: à";;", 35S";"An object N1 can be introduced by the preposition à";"Paul se mesure à Luc";"L'objet N1 peut être introduit par la préposition à"
"Prép1 =: avec";"binary";"Prép =: avec";;", 35S";"An object N1 can be introduced by the preposition avec";"Paul se mesure avec Luc";"L'objet N1 peut être introduit par la préposition avec"
"Prép1 =: contre";"binary";"Prép =: contre";;", 35S";"An object N1 can be introduced by the preposition contre";"Paul se bat contre Luc";"L'objet N1 peut être introduit par la préposition contre"
"Prép1 =: dans";"binary";"Prép =: dans";;", 35S";"An object N1 can be introduced by the preposition dans";"Le si dissone dans cet accord";"L'objet N1 peut être introduit par la préposition dans"
"Prép1 =: d'avec";"binary";"Prép =: d'avec";;", 35S";"An object N1 can be introduced by the preposition d'avec";"L'avis de Luc diverge d'avec le consensus";"L'objet N1 peut être introduit par la préposition d'avec"
"Prép1 =: de";"binary";"Prép =: de";;", 35S";"An object N1 can be introduced by the preposition de";"L'avis de Luc diverge du consensus";"L'objet N1 peut être introduit par la préposition de"
"Prép2";"lexical";"zone2";"zone";", 10, 14, 15, 16, 18, 35RR, 38R";"Prepositions of the object N2";"Max a accrédité auprès des parents la nouvelle que Luc est mort : auprès de ; Max a encadré dans ce texte que Luc était absent : Loc ; Max a pour preuve de cela qu'il ne s'est pas montré : pour+comme";"Prépositions de l'objet N2"
"Prép2 =: à";"binary";"Prép =: à";;", 36DT, 36S, 38RR";"An object N2 can be introduced by the preposition à";"Léa compare Luc à un singe ; Paul joue sa voiture à Luc au poker";"L'objet N2 peut être introduit par la préposition à"
"Prép2 =: auprès de";"binary";;;", 38RR";"An object N2 can be introduced by the preposition auprès de";"Max excuse Léa auprès de Luc de n'être pas venu";"L'objet N2 peut être introduit par la préposition auprès de"
"Prép2 =: auprès de = à";"binary";"auprès de = à";;", 15";"The preposition auprès de introducing an object can be substituted by the preposition à";"Paul se vante (auprès de+à) Paul de ce qu'il a gagné";"La préposition auprès de qui introduit l'objet N2 peut être remplacée par la préposition à"
"Prép2 =: avec";"binary";"Prép =: avec";;", 36S, 36SL, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6, 38RR";"An object N2 can be introduced by the preposition avec";"Le maire a marié Paul avec Léa ; Luc aromatise sa soupe avec du pistou ; Paul parie une bouteille avec Luc qu'Eva ne viendra pas";"L'objet N2 peut être introduit par la préposition avec"
"Prép2 =: contre";"binary";"Prép =: contre";;", 38RR";"An object N2 can be introduced by the preposition contre";"Luc protège sa voiture contre la pluie d'une bâche";"L'objet N2 peut être introduit par la préposition contre"
"Prép2 =: dans";"binary";"Prép =: dans";;", 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"An object N2 can be introduced by the preposition dans";"Luc ceinture la ville dans des remparts";"L'objet N2 peut être introduit par la préposition dans"
"Prép2 =: d'avec";"binary";"Prép =: (de+d'avec)";;", 36S";"An object N2 can be introduced by the preposition d'avec";"Le juge a divorcé Paul d'avec Léa";"L'objet N2 peut être introduit par la préposition d'avec"
"Prép2 =: de";"binary";"Prép =: de";;", 36S, 38RR";"An object N2 can be introduced by the preposition de";"Luc protège sa voiture de la pluie d'une bâche ;  Luc discerne le vert du rouge ; Luc aromatise sa soupe de pistou";"L'objet N2 peut être introduit par la préposition de"
"Prép2 =: en";"binary";"Prép =: en";;", 37M1, 37M2, 37M3, 37M4, 37M5, 37M6, 38RR";"An object N2 can be introduced by the preposition en";"Paul a équipé ses soldats en armes légères ; Luc rend cette expression en anglais dans son texte";"L'objet N2 peut être introduit par la préposition en"
"Prép2 =: pour";"binary";" ";;", 38RR";"An object N2 can be introduced by the preposition pour";"Max donne ce texte à Luc pour un chef-d'oeuvre";"L'objet N2 peut être introduit par la préposition pour"
"Prép3";"lexical";"zone3";"zone";", 18";"Prepositions of the object N3";"Max désigne Luc à Léa pour faire ce travail : pour ; Max a reçu de Luc comme garantie qu'il aurait une prime : <E>";"Prépositions de l'objet N3"
"Prép3 =: à";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition à";"Paul joue sa voiture à Luc au poker";"L'objet N3 peut être introduit par la préposition à"
"Prép3 =: avec";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition avec";"Max a protégé sa voiture de la pluie avec une bâche";"L'objet N3 peut être introduit par la préposition avec"
"Prép3 =: comme";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition comme";"Max donne à Luc ce cheval comme gagnant";"L'objet N3 peut être introduit par la préposition comme"
"Prép3 =: contre";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition contre";"La banque a changé à Max son argent contre des dollars";"L'objet N3 peut être introduit par la préposition contre"
"Prép3 =: dans";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition dans";"Paul a rendu cette expression en anglais dans son texte";"L'objet N3 peut être introduit par la préposition dans"
"Prép3 =: de";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition de";"Max a costumé Luc en clown d'une combinaison rouge";"L'objet N3 peut être introduit par la préposition de"
"Prép3 =: en";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition en";"Max a traduit ce texte d'anglais en turc";"L'objet N3 peut être introduit par la préposition en"
"Prép3 =: par";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition par";"Max a protégé sa voiture de la pluie par une bâche";"L'objet N3 peut être introduit par la préposition par"
"Prép3 =: pour";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition pour";"Max donne ce texte à Luc pour un chef-d'oeuvre";"L'objet N3 peut être introduit par la préposition pour"
"Prép3 =: sur";"binary";" ";;", 38RR";"An object N3 can be introduced by the preposition sur";"Max a réduit 30 F à Luc sur le prix de cet objet";"L'objet N3 peut être introduit par la préposition sur"
"Qu N0 V (Adj)";"binary";"Qu N0 V(Adj)";;", 6, 9";"From a sentential complement in the indicative mood taking the form que N être Adj W, the noun phrase N can be extracted during the formation of a relative clause; the rest of the sentential complement is conserved in the form of Adj W";"J'ai des doutes sur une opération. L'intéressé certifie que cette opération est véridique = J'ai des doutes sur une opération que l'intéressé certifie véridique";"Dans une complétive objet à l'indicatif de la forme que N être Adj W, le groupe nominal N peut être extrait lors de la formation d'une relative ; le reste de la complétive est conservé sous la forme Adj W"
