"<ID>";"N1 V";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1 de N2";"N0 V N1 de N2 = N0 mettre N2 Loc N1";"N0 V N1 de N2 = N0 enlever N2 de N1";"de combien ?";"Ppv =: en";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 être V-adj de N2";"V-adj";"N1 se V (neutre)";"N0 rendre N1 V-adj";"N0 rendre N1 plus V-adj";"N0 rendre N1 V-adj (forme V-adj)";"N0 rendre N1 plus V-adj (forme V-adj)";"<OPT>";"<ENGLISH>"
"358";"+";"-";"<E>";"rallonger";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"long";"Ces mesures rallongent le temps de travail";"to extend"
"359";"+";"+";"<E>";"ramollir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"mou";"mou";"La chaleur ramollit la cire";"to soften"
"360";"+";"-";"<E>";"rancir";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"rance";"<E>";"La chaleur rancit le beurre";"to turn rancid"
"361";"+";"-";"<E>";"rapetisser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"~";"+";"+";"-";"-";"-";"+";"+";"petit";"petit";"La distance rapetisse les choses";"to make look small"
"362";"~";"~";"<E>";"raplatir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Le choc a raplati la tôle";"~"
"363";"~";"~";"<E>";"rapprocher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"+";"<E>";"proche";"Cette lunette rapproche les objets";"?"
"364";"~";"~";"<E>";"rapproprier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"propre";"<E>";"On a rapproprié la cuisine";"?"
"365";"-";"-";"<E>";"raréfier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"~";"-";"+";"-";"-";"+";"+";"+";"rare";"rare";"La pluie a raréfié les promeneurs";"to rarefy"
"366";"~";"~";"<E>";"rassir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"rassis";"rassis";"Ce climat sec rassit le pain";"?"
"367";"-";"-";"<E>";"rationaliser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"rationnel";"rationnel";"On rationalise l'alimentation des enfants";"to rationalize"
"368";"-";"+";"<E>";"raviver";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"vif";"+";"-";"+";"<E>";"vif";"Le vinaigre ravive les couleurs";"to brighten up"
"369";"-";"-";"<E>";"réactiver";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"actif";"actif";"On a réactivé cet organisme";"to reactivate"
"370";"-";"-";"<E>";"réadapter";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"adapté";"<E>";"Ce séjour a réadapté Max à la vie civile";"to readjust"
"371";"~";"~";"<E>";"réaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"réel";"<E>";"Max a réalisé cette maison";"?"
"372";"~";"~";"<E>";"réaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"réel";"<E>";"Max a réalisé son(rêve+projet)";"?"
"373";"+";"+";"<E>";"réchauffer";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"chaud";"<E>";"Max a réchauffé son cassoulet";"to reheat"
"374";"+";"-";"<E>";"recourber";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"courbe";"courbe";"Max a recourbé le bout de la tige de fer";"to bend"
"375";"-";"-";"<E>";"redresser";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"droit";"droit";"Max a redressé le fer à cheval";"to right"
"376";"+";"+";"<E>";"refroidir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"-";"+";"<E>";"froid";"Max refroidit son café d'un peu d'eau";"to cool"
"377";"-";"-";"<E>";"régionaliser";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"régional";"régional";"L'état a régionalisé le service des taxes";"to regionalize"
"378";"-";"-";"<E>";"régulariser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"régulier";"<E>";"Max a régularisé son passeport";"to put in order"
"379";"~";"~";"<E>";"régulariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"régulier";"<E>";"On a régularisé le débit de l'eau";"?"
"380";"-";"+";"<E>";"réguler";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"réglé";"<E>";"Cette politique régule les naissances";"to control"
"381";"-";"-";"<E>";"rehausser";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"<E>";"haut";"Ce succès a rehaussé le prestige de Max";"to enhance"
"382";"-";"-";"<E>";"relâcher";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"lâche";"Max a relâché les liens de Luc";"to relax"
"383";"-";"-";"<E>";"relativiser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"+";"relatif";"relatif";"Max relativise l'importance de ses pertes";"to relativize"
"384";"-";"+";"<E>";"remplir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"plein";"+";"+";"-";"plein";"plein";"Max a rempli la baignoire de pastis";"to fill"
"385";"+";"+";"<E>";"renchérir";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"-";"-";"-";"-";"-";"+";"<E>";"cher";"Ces mesures ont renchéri le prix du pain";"to make more expensive"
"386";"-";"+";"<E>";"renforcer";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"-";"-";"+";"<E>";"fort";"Max a renforcé la planche d'une cornière";"to reinforce"
"387";"-";"-";"<E>";"renouveler";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"nouveau";"<E>";"Cet auteur a renouvelé son style";"to renew"
"388";"-";"-";"<E>";"rénover";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"+";"-";"+";"<E>";"neuf";"Max a rénové sa maison";"to renovate"
"389";"-";"-";"<E>";"rentabiliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"rentable";"rentable";"Max a rentabilisé la production";"to make profitable"
"390";"-";"-";"<E>";"républicaniser";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"républicain";"républicain";"Cette constitution a républicanisé l'état";"?"
"391";"~";"~";"<E>";"respectabiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"respectable";"<E>";"On a respectabilisé cette profession";"?"
"392";"~";"~";"<E>";"responsabiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"responsable";"<E>";"On a responsabilisé le chef du chantier pour ce genre de problème";"?"
"393";"+";"-";"<E>";"rétrécir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"étroit";"Le lavage a rétréci la robe";"?"
"394";"-";"-";"<E>";"ridiculiser";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"+";"-";"-";"-";"+";"+";"-";"ridicule";"<E>";"Son absence de rigueur ridiculise cette théorie";"to ridicule"
"395";"-";"+";"<E>";"rigidifier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"rigide";"rigide";"Le froid rigidifie le caoutchouc";"to make rigid"
"396";"~";"~";"<E>";"ringardiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"ringard";"<E>";"Paulo a ringardisé ses copains";"?"
"397";"-";"-";"<E>";"ritualiser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"rituel";"<E>";"On a ritualisé l'ouverture du bon vin";"to ritualize"
"398";"~";"~";"<E>";"romaniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"romain";"<E>";"César a romanisé la gaule";"?"
"399";"~";"~";"<E>";"romantiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"romantique";"<E>";"Léa a romantisé cette rencontre";"?"
"400";"-";"+";"<E>";"roser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"+";"rose";"-";"+";"-";"rose";"<E>";"Le grand air a rosé ses joues";"to turn pink"
"401";"+";"+";"<E>";"rosir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"rose";"-";"+";"-";"rose";"<E>";"Le grand air avait rosi ses joues";"to turn pink"
"402";"~";"~";"<E>";"rougeoyer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"rouge";"<E>";"Le feu rougeoie (E+le fer)";"to make hot"
"403";"+";"+";"<E>";"rougir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"rouge";"-";"+";"-";"rouge";"<E>";"Bob rougit le fer dans la braise";"to make hot"
"404";"~";"~";"<E>";"rouiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"roux";"<E>";"L'automne rouille les feuilles";"?"
"405";"+";"+";"<E>";"roussir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"roux";"+";"+";"-";"roux";"<E>";"Le soleil roussit les cheveux de Max";"to turn red"
"406";"~";"~";"<E>";"ruraliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"rural";"<E>";"Cette mode a ruralisé les parisiens";"?"
"407";"~";"~";"<E>";"rustiquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"rustique";"<E>";"L'ouvrier a rustiqué le mur(E+avec du crépi)";"?"
"408";"-";"-";"<E>";"sacraliser";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"sacré";"<E>";"Cette loi sacralise le mariage";"to make sacred"
"409";"-";"+";"<E>";"salir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"-";"sale";"<E>";"Max a sali sa chemise de grosses taches";"to make dirty"
"410";"-";"-";"<E>";"sanctifier";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"sanctifié";"<E>";"L'église a sanctifié le dimanche";"to sanctify"
"411";"-";"+";"<E>";"saouler";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"-";"-";"-";"-";"+";"+";"-";"saoul";"<E>";"Le vin a saoulé Ida";"to make drunk"
"412";"~";"~";"<E>";"schématiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"schématique";"<E>";"Max a schématisé (la situation+sa pensée)";"?"
"413";"+";"+";"<E>";"sécher";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"-";"-";"-";"-";"-";"+";"-";"sec";"<E>";"Le soleil sèche le foin";"to dry out"
"414";"-";"-";"<E>";"séculariser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"séculier";"séculier";"Ces mesures ont sécularisé les(moines+églises vides)";"to secularize"
"415";"~";"~";"<E>";"sécuriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"sûr";"sûr";"Ces mesures ont sécurisé les banlieues";"?"
"416";"-";"-";"<E>";"sédentariser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"sédentaire";"sédentaire";"Cette politique a sédentarisé les nomades";"to settle"
"417";"~";"~";"<E>";"sensationnaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"sensationnel";"sensationnel";"Les médias sensationnalisent le moindre événement";"?"
"418";"~";"~";"<E>";"sexualiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"sexuel";"sexuel";"On sexualise la publicité";"?"
"419";"-";"-";"<E>";"simplifier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"~";"-";"+";"-";"-";"+";"+";"+";"simple";"simple";"Max a simplifié le problème";"to simplify"
"420";"~";"~";"<E>";"siniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"chinois";"chinois";"Ces commerces ont sinisé le quartier";"?"
"421";"~";"~";"<E>";"slaviser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"slave";"salve";"Les envahisseurs ont slavisé cette région";"?"
"422";"-";"-";"<E>";"sociabiliser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"<E>";"sociable";"La vie en communauté a sociabilisé Max";"to make sociable"
"423";"~";"~";"<E>";"socialiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"social";"social";"L'école socialise les enfants";"?"
"424";"-";"-";"<E>";"solenniser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"solennel";"<E>";"Des fêtes fastueuses ont solennisé ce jour";"to solemnize"
"425";"+";"-";"<E>";"solidifier";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"solide";"<E>";"Le froid a solidifié la lave";"to solidify"
"426";"-";"-";"<E>";"solubiliser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"soluble";"<E>";"On solubilise l'aspirine";"to make soluble"
"427";"~";"~";"<E>";"solvabiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"solvable";"<E>";"La vente des immeubles a solvabilisé l'entreprise";"?"
"428";"-";"+";"<E>";"sonoriser";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"sonore";"<E>";"Max a sonorisé le film de musique rock";"to add the sound track to"
"429";"-";"+";"<E>";"soûler";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"-";"soûlé";"<E>";"Ce vin a soûlé Ida";"to make drunk"
"430";"-";"-";"<E>";"soviétiser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"+";"+";"+";"soviétique";"soviétique";"Les russes soviétisent ce pays";"to sovietize"
"431";"~";"~";"<E>";"spatialiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"spatial";"spatial";"On spatialise les communications";"?"
"432";"-";"-";"<E>";"spiritualiser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"spirituel";"spirituel";"Paul a spiritualisé son amour pour Léa";"to spiritualize"
"433";"-";"+";"<E>";"stabiliser";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"stable";"stable";"Max a stabilisé (l'avion+la balance+les prix)";"to stabilize"
"434";"~";"~";"<E>";"staliniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"stalinien";"stalinien";"On a stalinisé le parti";"?"
"435";"-";"-";"<E>";"standardiser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"standard";"standard";"Max a standardisé la production";"to standardize"
"436";"-";"-";"<E>";"stériliser";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"-";"+";"+";"stérile";"stérile";"Ce procédé stérilise les(pansements+plaies)";"to sterilize"
"437";"-";"+";"<E>";"stériliser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"-";"+";"stérile";"-";"+";"+";"stérile";"stérile";"Ce traitement a stérilisé la(vache+terre)";"to sterilize"
"438";"-";"-";"<E>";"suractiver";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"-";"+";"<E>";"actif";"Ce procédé suractive ce médicament";"to make more active"
"439";"-";"-";"<E>";"surbaisser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"-";"+";"<E>";"bas";"Max a surbaissé la carrosserie sur son dessin";"to make lower"
"440";"~";"~";"<E>";"surchauffer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"+";"<E>";"chaud";"Max a surchauffé l'appartement";"to overheat"
"441";"+";"-";"<E>";"surir";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"sur";"<E>";"La chaleur a suri la crème";"to turn sour"
"442";"-";"-";"<E>";"syndicaliser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"syndical";"syndical";"La crise a syndicalisé cette profession";"to make syndicalist"
"443";"~";"~";"<E>";"syphiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"syphilitique";"syphilitique";"Ida a syphilisé tout le régiment";"to be unfair"
"444";"-";"-";"<E>";"systématiser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"systématique";"systématique";"Max a systématisé la recherche des fautes";"to systematize"
"445";"~";"~";"<E>";"tabouiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"tabou";"<E>";"On a  tabouisé le(mort+directeur)";"?"
"446";"-";"-";"<E>";"techniciser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"technique";"technique";"Ce décret technicise l'enseignement";"to make technical"
"447";"-";"-";"<E>";"technocratiser";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"technocratique";"technocratique";"Le changement a technocratisé la fonction publique";"to make technocratic"
"448";"~";"~";"<E>";"tectotiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"tectotique";"<E>";"Ces plissements ont tectotisé cette plaque rocheuse";"?"
"449";"+";"+";"<E>";"ternir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"terne";"terne";"La patine ternit le métal";"to tarnish"
"450";"~";"~";"<E>";"théâtraliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"théâtral";"<E>";"Paul théâtralise toujours son arrivée";"?"
"451";"+";"+";"<E>";"tiédir";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"tiède";"<E>";"L'air froid tiédit le lait";"to make lukewarm"
"452";"~";"~";"<E>";"topicaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"topicalisé";"<E>";"Max a topicalisé (ce mot+cette notion)";"?"
"453";"+";"-";"<E>";"tripler";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"triple";"<E>";"Le pays a triplé la production de gin";"to triple"
"454";"~";"~";"<E>";"trivialiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"trivial";"trivial";"Max a trivialisé son(vocabulaire+style)";"?"
"455";"-";"+";"<E>";"troubler";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"+";"trouble";"+";"+";"-";"trouble";"<E>";"Max a troublé l'eau";"to make cloudy"
"456";"~";"~";"<E>";"typer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"typique";"<E>";"Max a typé le héros de traits nordiques";"?"
"457";"~";"~";"<E>";"unifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"unifié";"unifié";"On a unifié (l'orthographe+les notations)";"?"
"458";"-";"-";"<E>";"uniformiser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"uniforme";"uniforme";"Max a uniformisé les programmes";"to standardize"
"459";"-";"-";"<E>";"universaliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"+";"+";"+";"universel";"universel";"Kant a universalisé la notion de morale";"to universalize"
"460";"-";"-";"<E>";"urbaniser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"urbain";"<E>";"Le plan urbanisera ce secteur";"to urbanize"
"461";"-";"+";"<E>";"valider";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"valide";"<E>";"Max a validé le document(E+d'un tampon)";"to validate"
"462";"-";"-";"<E>";"vassaliser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"-";"vassal";"<E>";"Le roi a vassalisé les seigneurs";"to make vassal"
"463";"+";"+";"<E>";"verdir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"vert";"-";"+";"-";"vert";"<E>";"La pluie a verdi les champs";"to turn green"
"464";"~";"~";"<E>";"verticaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"vertical";"vertical";"Max a verticalisé le(poteau+mannequin)";"?"
"465";"-";"-";"<E>";"viabiliser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"viable";"viable";"Max a viabilisé son terrain";"to service"
"466";"-";"-";"<E>";"vider";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"~";"-";"+";"+";"vide";"+";"+";"-";"vide";"<E>";"Max a vidé le tonneau de son vin";"to empty"
"467";"+";"+";"<E>";"vieillir";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"vieux";"-";"+";"+";"vieux";"vieux";"Max vieillit son vin en fûts";"to age"
"468";"+";"+";"<E>";"violacer";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"violet";"-";"+";"-";"violet";"<E>";"Le vin a violacé la trogne de Max";"to turn purple"
"469";"-";"-";"<E>";"viriliser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"viril";"viril";"Ce vêtement virilise Ida";"to make one look masculine"
"470";"~";"~";"<E>";"virtualiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"virtuel";"virtuel";"Max a virtualisé cette image";"to virtualize"
"471";"~";"~";"<E>";"vivifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"vivant";"vivant";"Le tourisme a vivifié la région";"?"
"472";"-";"-";"<E>";"volatiliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"-";"volatile";"<E>";"Ce procédé volatilise le mercure";"to volatilize"
"473";"-";"-";"<E>";"vulgariser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"-";"vulgaire";"<E>";"Ce maquillage vulgarise Ida";"to make vulgar"

