"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"Prép1";"thèmeN1";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N1 =: Nhum";"N0 lui V Prép N1pc";"N0 V Prép N0pc";"N1 =: N-hum";"N1 =: Qu Pind";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N1 =: le fait Qu P";"Ppv =: y";"Ppv =: en";"N0 (E+Ppv) V (Prép+Prép-adv)";"N1 être V-n";"N1 =: Npl obl";"N0 V de N0pc W";"N0hum V W sur ce point";"N0 être V-ant Prép N1";"[extrap]";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"261";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"jouer";"-";"+";"-";"sur";"faiblesse";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max joue sur la faiblesse de Luc "
"262";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"jouir";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"(Max+cette histoire) jouit d'une bonne réputation"
"263";"~";"~";"~";"~";"~";"ne";"-";"-";"-";"-";"+";"jurer que";"-";"+";"-";"par";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne jure que par(Ida+le vin)"
"264";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"justifier";"-";"+";"-";"de";"identité";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a justifié de dix ans de service"
"265";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"justifier";"-";"-";"+";"de";"accusation";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'est justifié de cette accusation"
"266";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"lancer";"-";"-";"+";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ils se sont lancé dans une grande discussion"
"267";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"languir";"-";"+";"-";"après";"<E>";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max languit après Ida"
"268";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"lésiner";"-";"+";"-";"sur";"quantité";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max lésine sur la quantité"
"269";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"leurrer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se leurre sur sa valeur"
"270";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"lorgner";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max lorgne sur l'héritage de son oncle"
"271";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"loucher";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max louche sur(le gâteau+la réussite)de Luc"
"272";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"luncher";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"lunch";"Max a lunché d'un sandwich"
"273";"+";"+";"-";"+";"-";"<E>";"-";"-";"-";"-";"-";"lutter";"-";"+";"-";"contre";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max lutte (contre+avec) l'humidité"
"274";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"manger";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max mange d'un sandwich"
"275";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"manifester";"-";"+";"-";"contre+pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les étudiants manifestent (pour+contre)le gouvernement"
"276";"+";"+";"-";"-";"-";"se";"+";"-";"-";"-";"-";"manifester";"-";"-";"+";"par";"qqch";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Une évolution s'est manifesté "
"277";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"manoeuvrer";"-";"+";"-";"pour";"résultat";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a manoeuvré pour(E+obtenir)ce résultat"
"278";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"marcher";"-";"+";"-";"dans";"combine";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a marché dans la plaisanterie"
"279";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"marcher";"-";"+";"-";"avec";"<E>";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max marche avec Luc dans ce projet"
"280";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"méditer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max médite sur la condition de l'homme"
"281";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"mégoter";"-";"+";"-";"sur";"quantité";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a mégoté sur le vin"
"282";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"mêler";"-";"-";"+";"à+dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se mêle à la foule"
"283";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"méprendre";"-";"-";"+";"sur";"intentions";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s'est mépris sur les intentions de Luc"
"284";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"mésuser";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max mésuse de sa fortune"
"285";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"mettre";"-";"-";"+";"avec";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Romeo s'est mis avec Juliette"
"286";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"militer";"-";"+";"-";"pour";"<E>";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max milite (pour+contre)l'abolition des impôts"
"287";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"moquer";"-";"-";"+";"de";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max se moque (E+pas mal)du chapeau de Luc"
"288";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"mordre";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"La lime mord dans le métal"
"289";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"mouiller";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est mouillé pour son ami"
"290";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"murmurer";"-";"+";"-";"contre";"régime";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"On murmure (E+contre le régime)"
"291";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"nager";"-";"+";"-";"en";"maths";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max nage en Maths"
"292";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"naître";"-";"-";"+";"de";"famille";"+";"-";"+";"-";"-";"+";"~";"~";"~";"-";"-";"-";"~";"~";"+";"~";"~";"~";"-";"~";"-";"+";"<E>";"<E>";"Max est né de parents alcooliques"
"293";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"occuper";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' occupe de mes affaires"
"294";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"oeuvrer";"-";"+";"-";"pour";"<E>";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"<E>";"oeuvre";"Max oeuvre pour que tout soit en ordre"
"295";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"opérer";"-";"+";"-";"sur";"<E>";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Ce médicament opère sur le flux biliaire"
"296";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"opter";"-";"+";"-";"contre+pour";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"option";"Max opte pour que Léa vienne"
"297";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"orienter";"-";"-";"+";"sur";"étoiles";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"<E>";"orientation";"Max s' oriente (sur+d'après)l'étoile polaire"
"298";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"osciller";"-";"+";"-";"entre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul oscille entre deux solutions"
"299";"-";"+";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"ouvrir";"-";"-";"+";"sur";"<E>";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La pièce s' ouvre sur un monologue"
"300";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"pâlir";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max pâlit sur ses dossiers"
"301";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"parader";"-";"+";"-";"devant";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Ida parade devant l'assistance"
"302";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"parler";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida parle (E+de)chiffons avec Flo"
"303";"-";"+";"-";"+";"-";"<E>";"-";"-";"-";"-";"-";"participer";"-";"+";"-";"de";"drame";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Cette oeuvre participe du drame"
"304";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"partir";"-";"-";"+";"en";"lambeaux";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"Cette veste part en(morceaux+lambeaux)"
"305";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"partir";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les vacances partent du 1er juillet"
"306";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"partir";"-";"-";"+";"en";"dépenses";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Son argent part (en+dans les)disques"
"307";"+";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"-";"partir";"-";"-";"+";"pour";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La pluie est partie pour durer"
"308";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"partouzer";"-";"+";"-";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max partouze avec 10 personnes"
"309";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"passer";"-";"-";"+";"derrière";"qqun";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max passe toujours derrière Luc (E+pour corriger ses erreurs)"
"310";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"passer";"-";"-";"+";"en";"dépenses";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"Son argent passe (dans des bêtises+en disques)"
"311";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"passer";"-";"-";"+";"sur";"erreur";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Paul est passé sur mes erreurs"
"312";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"pécher";"-";"+";"-";"par";"ignorance";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce texte pèche par sa confusion dans l'exposé"
"313";"+";"-";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"pécher";"-";"+";"-";"contre";"loi";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max pèche contre la (drogue+bienséance)"
"314";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"pencher";"-";"+";"-";"pour";"décision";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max penche pour(cette solution+faire des élections)"
"315";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"pencher";"-";"-";"+";"sur";"problème";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max se penche sur(la misère humaine+le problème)"
"316";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"perdre";"-";"+";"-";"en";"qualité";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce vin a perdu en qualité"
"317";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"perdre";"-";"-";"+";"en";"discours";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max se perd en(conjectures+discours+explications)"
"318";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"persévérer";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max persévère dans ses plantations"
"319";"+";"+";"+";"+";"+";"<E>";"-";"-";"-";"-";"-";"peser";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"poids";"<E>";"Les(soupçons+responsabilités) pèsent sur Max"
"320";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"pester";"-";"+";"-";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max peste contre Ida"
"321";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"pétarder";"-";"+";"-";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo pétarde contre Ida"
"322";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"petit-déjeuner";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a petit-déjeuné d'un croissant"
"323";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"pincer";"-";"+";"-";"pour";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max en pince pour Ida"
"324";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"pisser";"-";"+";"-";"sur";"loi";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max pisse sur la littérature"
"325";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"plaider";"-";"+";"-";"contre";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max plaide contre sa femme"
"326";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"plaindre";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc se plaint de maux de tête"
"327";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"plancher";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max planche sur son devoir"
"328";"~";"~";"~";"~";"~";"ne";"-";"-";"-";"-";"+";"plaisanter";"+";"+";"-";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne plaisante pas avec le règlement"
"329";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"planter";"-";"-";"+";"à+en";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est planté en moto"
"330";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"pleurer";"-";"+";"-";"sur";"sort";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"L'orateur pleure sur(la misère humaine+son sort)"
"331";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"pleurer";"-";"+";"-";"après";"emploi";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max pleure après les crédits"
"332";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"plier";"-";"+";"-";"devant";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a plié devant l'insistance de Luc"
"333";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"plonger";"-";"+";"-";"Loc";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se plonge dans(le problème+ce livre)"
"334";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"plonger";"-";"-";"+";"Loc";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se plonge dans le travail"
"335";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"ployer";"-";"+";"-";"devant";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a ployé devant la force"
"336";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"porter";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La hausse porte sur les services"
"337";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"poser";"-";"-";"+";"en";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se pose en grand vainqueur"
"338";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"pourlécher";"-";"-";"+";"de";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Les enfants se pourlèchent de ce gâteau"
"339";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"pousser";"-";"-";"+";"auprès de";"chef";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se pousse auprès des directeurs"
"340";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"précautionner";"-";"-";"+";"contre";"risque";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s'est précautionné contre la pluie"
"341";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"précipiter";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se précipite sur Luc|pour lui dire cela|"
"342";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"prédominer";"-";"+";"-";"sur";"<E>";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"L'influence de Max prédomine sur celle de Luc"
"343";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"prendre";"-";"+";"-";"pour";"Dnum ans";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max en a pris pour dix ans"
"344";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"prendre";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se prend pour Napoléon"
"345";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"prendre Advm";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La pub prend bien sur les enfants"
"346";"+";"-";"-";"-";"-";"s'y";"+";"-";"-";"+";"-";"prendre Advm";"-";"-";"+";"avec";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'y prend mal avec Luc"
"347";"+";"-";"-";"-";"-";"s'y";"+";"-";"-";"+";"-";"prendre Advm";"-";"-";"+";"pour";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'y prend mal pour son travail"
