"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: autour de N2 destination";"Loc N2 =: vers N2 destination";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"288";"~";"~";"~";"~";"<E>";"relever";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max relève la manette en position haute"
"289";"+";"-";"-";"-";"<E>";"remettre";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max remet doucement le vase à sa place"
"290";"-";"-";"-";"-";"<E>";"remiser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"remise";"Max a remisé la voiture dans la grange"
"291";"~";"~";"~";"~";"<E>";"rempoter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a rempoté le lys dans un pot plus grand"
"292";"-";"-";"-";"-";"<E>";"rencoquiller";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rencoquillé les escargots dans leur coquille"
"293";"~";"~";"~";"~";"<E>";"reculer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a reculé l'armoire contre le mur"
"294";"-";"-";"+";"-";"<E>";"rentrer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a rentré la voiture dans le garage"
"295";"+";"-";"-";"-";"<E>";"renverser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a renversé du vin sur son froc"
"296";"~";"~";"~";"~";"<E>";"renvoyer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Jo a renvoyé le ballon dans les buts"
"297";"-";"-";"-";"-";"<E>";"répandre";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a répandu du vin sur la table"
"298";"-";"-";"-";"+";"<E>";"répertorier";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"répertoire";"Max a répertorié ce numéro dans son carnet"
"299";"-";"-";"-";"-";"<E>";"repiquer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max repique des salades dans le jardin"
"300";"~";"~";"~";"~";"<E>";"replanter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a replanté des salades dans son potager"
"301";"+";"-";"-";"-";"<E>";"reporter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a reporté cette adresse sur son carnet"
"302";"~";"~";"~";"~";"<E>";"reporter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max reporte le livre à la bibliothèque"
"303";"+";"-";"-";"-";"<E>";"reposer";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max repose délicatement le vase(à sa place+sur la table)"
"304";"~";"~";"~";"~";"<E>";"retourner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a retourné la lettre à(Luc+Gap)"
"305";"-";"-";"+";"-";"<E>";"rétrograder";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rétrogradé le curseur à la position 3"
"306";"-";"-";"-";"-";"<E>";"rouler";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"rouleau";"Max a roulé le drapeau sur le bâton"
"307";"~";"~";"~";"~";"<E>";"router";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a routé sur Gap"
"308";"-";"-";"+";"-";"<E>";"satelliser";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"satellite";"<E>";"On a satellisé l'engin sur une orbite éloignée"
"309";"-";"-";"-";"-";"<E>";"saupoudrer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"poudre";"<E>";"L'état a saupoudré les crédits sur les entreprises"
"310";"~";"~";"~";"~";"<E>";"scribouiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a scribouillé quelques mots sur la feuille"
"311";"~";"~";"~";"~";"<E>";"sédimenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La sécheresse a sédimenté de l'argile au fond du ruisseau"
"312";"-";"-";"-";"-";"<E>";"semer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a semé ses affaires sur tout le parcours"
"313";"~";"~";"~";"~";"<E>";"semer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul sème du blé dans son champs"
"314";"-";"-";"-";"-";"<E>";"seringuer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a seringué de l'alcool dans la veine"
"315";"-";"-";"-";"+";"<E>";"serrer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max serre l'étau sur le crayon"
"316";"+";"-";"-";"-";"<E>";"shooter";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"shoot";"<E>";"L'avant centre shoote le ballon dans la lucarne"
"317";"~";"~";"~";"~";"<E>";"signer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a signé son nom sur la feuille"
"318";"-";"-";"+";"-";"<E>";"stationner";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"station";"Max a stationné son bus au coin"
"319";"~";"~";"~";"~";"<E>";"suivre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max suit Léa dans le jardin"
"320";"-";"-";"-";"-";"<E>";"surajouter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"ajout";"On a surajouté une aide à l'édifice"
"321";"-";"-";"-";"-";"<E>";"suspendre";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"<E>";"<E>";"Max a suspendu le sac au clou"
"322";"~";"~";"~";"~";"<E>";"tambouriner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tambourine (E+des coups)à la porte"
"323";"~";"~";"~";"~";"<E>";"taper";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tape une valse sur son piano"
"324";"~";"~";"~";"~";"<E>";"tapoter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tapote des petits coups sur la table"
"325";"-";"-";"-";"-";"<E>";"tarauder";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max taraude un trou dans le métal"
"326";"~";"~";"~";"~";"<E>";"télécharger";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a téléchargé ces données(sur+dans)le terminal"
"327";"-";"-";"-";"-";"<E>";"tendre";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a tendu la bâche sur le camion"
"328";"+";"-";"-";"-";"<E>";"tirailler";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max tiraille du plomb sur l'ennemi"
"329";"+";"-";"-";"-";"<E>";"tirer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a tiré deux balles dans la cible"
"330";"~";"~";"~";"~";"<E>";"tirer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a tiré la table devant la fenêtre"
"331";"~";"~";"~";"~";"<E>";"tourner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tourne le fauteuil contre le mur"
"332";"~";"~";"~";"~";"<E>";"transborder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a transbordé les caisses du canot sur la barge"
"333";"~";"~";"~";"~";"<E>";"transposer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a transposé cette histoire en Iran"
"334";"~";"~";"~";"~";"<E>";"transvaser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a transvasé le vin de la carafe dans le fût"
"335";"-";"-";"+";"-";"<E>";"tremper";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max trempe le chronomètre dans l'eau"
"336";"-";"-";"+";"-";"<E>";"vaporiser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"vapeur";"<E>";"Max vaporise de la laque sur ses cheveux"
"337";"-";"-";"-";"-";"<E>";"verser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Le choc a versé l'auto dans le fossé"
"338";"-";"-";"+";"-";"<E>";"virer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a viré cette somme sur le compte de Bob"
"339";"-";"-";"-";"-";"<E>";"virer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a viré le bahut à la cave"
"340";"~";"~";"~";"~";"<E>";"visualiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On visualise la tumeur sur l'écran"

