"<ID>";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0hum V W sur ce point";"N0 V vers N";"[extrap]";"N0idée V Loc N1esprit";"N0hum V Loc Nabs";"N0 =: N-hum métaphore";"N0 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"419";"~";"se";"+";"-";"-";"-";"-";"-";"pendre";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est pendu ";"?"
"420";"~";"<E>";"-";"-";"-";"-";"-";"-";"penser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max pense ";"?"
"421";"~";"<E>";"-";"-";"-";"-";"-";"-";"percer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"(L'artiste+Max)a percé au bout de dix ans";"?"
"422";"-";"<E>";"-";"-";"-";"-";"-";"-";"pérégriner";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"<E>";"Max pérégrine vers Dax";"to travel"
"423";"-";"<E>";"-";"-";"-";"-";"-";"-";"perlouzer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a perlouzé ";"to fart"
"424";"~";"<E>";"-";"-";"-";"-";"-";"-";"pérorer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max pérore sur la situation";"?"
"425";"-";"<E>";"-";"-";"-";"-";"-";"-";"perruquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max perruque ";"to take advantage of one's job"
"426";"~";"se";"+";"-";"-";"-";"-";"-";"péter";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est pété (E+la gueule)hier";"?"
"427";"-";"<E>";"-";"-";"-";"-";"-";"-";"pétitionner";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Les habitants mécontents ont pétitionné ";"to set up a petition"
"428";"-";"<E>";"-";"-";"-";"-";"-";"-";"pétocher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max pétoche ";"to be scared silly"
"429";"~";"<E>";"-";"-";"-";"-";"-";"-";"pexer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul a pexé sur la révolution";"?"
"430";"~";"<E>";"-";"-";"-";"-";"-";"-";"philosopher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul philosophe sur cette question";"?"
"431";"-";"<E>";"-";"-";"-";"-";"-";"-";"phosphorer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Max phosphore sur le problème";"to work hard"
"432";"-";"<E>";"-";"-";"-";"-";"-";"-";"piaffer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Le cheval piaffe ";"to stamp"
"433";"~";"<E>";"-";"-";"-";"-";"-";"-";"piger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le journaliste pige au 'Monde'";"?"
"434";"-";"<E>";"-";"-";"-";"-";"-";"-";"piler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"Max a pilé (E+au feu rouge)";"to jam on the brakes"
"435";"~";"<E>";"-";"-";"-";"-";"-";"-";"pinailler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul pinaille auprès de Max sur l'intérêt de cette décision";"?"
"436";"-";"<E>";"-";"-";"-";"-";"-";"-";"pioncer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max pionce ";"to get some shut-eye"
"437";"-";"<E>";"-";"-";"-";"-";"-";"-";"pique-niquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max pique-nique en forêt";"to picnic"
"438";"-";"se";"+";"-";"-";"-";"-";"-";"piquer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max se pique à la morphine";"?"
"439";"-";"<E>";"-";"-";"-";"-";"-";"-";"piqueter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max piquette devant la Fac";"to be on strike"
"440";"~";"se";"+";"-";"-";"-";"-";"-";"piquouser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se piquouse ";"?"
"441";"~";"<E>";"-";"-";"-";"-";"-";"-";"pirater";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les corsaires piratent aux Antilles";"?"
"442";"-";"<E>";"-";"-";"-";"-";"-";"-";"pirouetter";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"<E>";"Ida pirouette (E+sur elle-même)";"to pirouette"
"443";"-";"<E>";"-";"-";"-";"-";"-";"-";"plaisanter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max plaisante (E+,il n'en est pas question)";"to joke"
"444";"-";"<E>";"-";"-";"-";"-";"-";"-";"plancher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max planche en Géo ce matin";"to spout"
"445";"-";"<E>";"-";"-";"-";"-";"-";"-";"planer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"Max plane ";"to be stoned"
"446";"-";"se";"+";"-";"-";"-";"-";"-";"planter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"<E>";"Max s'est planté dans sa(démonstration+réplique)";"?"
"447";"~";"<E>";"-";"-";"-";"-";"-";"-";"plonger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paulo a plongé (E+pour 5 ans)";"?"
"448";"+";"se";"+";"-";"-";"-";"-";"-";"pocharder";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"pochard";"Max se pocharde ";"?"
"449";"~";"se";"+";"-";"-";"-";"-";"-";"pochtronner";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se pochtronne au gros rouge";"?"
"450";"-";"<E>";"-";"-";"-";"-";"-";"-";"pointer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les ouvriers pointent à 8 heures";"to clock in"
"451";"-";"<E>";"-";"-";"-";"-";"-";"-";"pointer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Marius pointe (E+plutôt que tirer)";"to roll"
"452";"+";"se";"+";"-";"-";"-";"-";"-";"poivrer";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"poivrot";"Max se poivre au blanc";"?"
"453";"-";"<E>";"-";"-";"-";"-";"-";"-";"ponter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les employés pontent jusqu'à Mardi";"to take the extra days"
"454";"-";"se";"+";"-";"-";"-";"-";"-";"porter Advm";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"Max se porte mal ";"?"
"455";"-";"<E>";"-";"-";"-";"-";"-";"-";"poser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida pose pour un peintre";"to pose"
"456";"-";"<E>";"-";"-";"-";"-";"-";"-";"poser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max pose volontiers";"to give standing to"
"457";"~";"<E>";"-";"-";"-";"-";"-";"-";"positiver";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max positive ";"?"
"458";"~";"ne se";"+";"-";"-";"-";"-";"+";"posséder";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne se possède plus(E+de joie)";"?"
"459";"-";"<E>";"-";"-";"-";"-";"-";"-";"pouliner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Notre jument a pouliné ";"to foal"
"460";"-";"<E>";"-";"-";"-";"-";"-";"-";"pousser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Ida a poussé pour(accoucher+chier)";"to push"
"461";"-";"<E>";"-";"-";"-";"-";"-";"-";"pousser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max pousse à arriver en retard ainsi";"to go too far"
"462";"~";"se";"+";"-";"-";"-";"-";"-";"précipiter";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se précipite ";"to rush"
"463";"+";"se";"+";"-";"-";"-";"-";"-";"prélasser";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"prélat";"Max se prélasse sur le divan";"?"
"464";"~";"<E>";"-";"-";"-";"-";"-";"-";"préluder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max prélude sur son piano";"?"
"465";"-";"<E>";"-";"-";"-";"-";"-";"-";"prévariquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max prévarique ";"to be guilty of corrupt practices"
"466";"-";"<E>";"-";"-";"-";"-";"-";"-";"procéder Advm";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max procède de cette manière ";"?"
"467";"+";"<E>";"-";"-";"-";"-";"-";"-";"processionner";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"procession";"Les chenilles processionnent vers leur nid";"to march"
"468";"~";"<E>";"-";"-";"-";"-";"-";"-";"prospérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max prospère ces temps-ci";"?"
"469";"~";"<E>";"-";"-";"-";"-";"-";"-";"prouter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ida a prouté ";"?"
"470";"-";"<E>";"-";"-";"-";"-";"-";"-";"putasser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max putasse dans les allées du pouvoir";"to sell one's soul"
"471";"~";"<E>";"-";"-";"-";"-";"-";"-";"queuter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le joueur de billard a queuté ";"?"
"472";"-";"<E>";"-";"-";"-";"-";"-";"-";"quitter Advt";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max quitte à six heures ";"?"
"473";"~";"<E>";"-";"-";"-";"-";"-";"-";"rabâcher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le vieux rabâche ";"?"
"474";"-";"<E>";"-";"-";"-";"-";"-";"-";"raccrocher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ce boxeur a raccroché ";"to hang up one's gloves"
"475";"~";"<E>";"-";"-";"-";"-";"-";"-";"radoter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le vieux radote ";"?"
"476";"-";"<E>";"-";"-";"-";"-";"-";"-";"raffiner";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"Max raffine sur(sa mise+les détails)";"to be meticulous"
"477";"-";"<E>";"-";"-";"-";"-";"-";"-";"raisonner";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Cet enfant raisonne ";"to reason"
"478";"-";"en";"-";"+";"-";"-";"-";"-";"rajouter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Cet acteur en rajoute ";"?"
"479";"-";"<E>";"-";"-";"-";"-";"-";"-";"râler";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Le blessé râle ";"to groan"
"480";"~";"<E>";"-";"-";"-";"-";"-";"-";"ramager";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La colombe ramage ";"?"
"481";"-";"se";"+";"-";"-";"-";"-";"-";"ramasser";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"Luc s'est ramassé dans l'escalier en courant";"?"
"482";"-";"se";"+";"-";"-";"-";"-";"-";"ramasser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max se ramasse sur lui-même";"?"
"483";"~";"la";"-";"-";"-";"+";"-";"-";"ramener";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul la ramène ";"?"
"484";"-";"<E>";"-";"-";"-";"-";"-";"-";"ramer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max rame (en maths+sur cette question)";"to wade avout"
"485";"-";"<E>";"-";"-";"-";"-";"-";"-";"randonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Max randonne dans le Gard";"to go hiking"
"486";"~";"se";"+";"-";"-";"-";"-";"-";"ranger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est rangé ";"?"
"487";"~";"<E>";"-";"-";"-";"-";"-";"-";"rappeler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La perdrix rappelle ";"?"
"488";"~";"se";"+";"-";"-";"-";"-";"-";"rassembler";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'athlète se rassemble (E+sur lui même)";"?"
"489";"-";"se";"+";"-";"-";"-";"-";"-";"rater";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Ida s'est ratée ";"?"
"490";"-";"<E>";"-";"-";"-";"-";"-";"-";"ratiociner";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max ratiocine sur ce point";"to split hairs"
"491";"~";"<E>";"-";"-";"-";"-";"-";"-";"rauquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le tigre rauque ";"?"
"492";"-";"se";"+";"-";"-";"-";"-";"-";"raviser";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Jo s'est ravisé sur ce point";"?"
"493";"-";"se";"+";"-";"-";"-";"-";"-";"recaver";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'est recavé au poker";"?"
"494";"-";"<E>";"-";"-";"-";"-";"-";"-";"rechuter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"Max a rechuté ";"ro relapse"
"495";"-";"<E>";"-";"-";"-";"-";"-";"-";"récidiver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max a récidivé (E+dans son erreur)";"to do it again"
"496";"-";"se";"+";"-";"-";"-";"-";"-";"recueillir";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max se recueille sur la tombe d'Ida";"?"
"497";"-";"se";"+";"-";"-";"-";"-";"-";"récuser";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Le constructeur pressenti s'est récusé ";"?"
"498";"~";"en";"-";"+";"-";"-";"-";"-";"redemander";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max en redemande ";"?"
"499";"-";"se";"+";"-";"-";"-";"-";"-";"refaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'est refait pendant les vacances";"?"
"500";"~";"<E>";"-";"-";"-";"-";"-";"-";"réfléchir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max n'a pas réfléchi ";"?"
"501";"-";"se";"+";"-";"-";"-";"-";"-";"refroidir";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'est refroidi à attendre";"?"
"502";"-";"<E>";"-";"-";"-";"-";"-";"-";"régaler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Aujourd'hui Max régale <c'est lui qui paye>";"to treat a slap-up"
"503";"-";"se";"+";"-";"-";"-";"-";"-";"régaler";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Cet entrepreneur s'est régalé dans ces transactions";"?"
"504";"~";"<E>";"-";"-";"-";"-";"-";"-";"régner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max 1er règne sur les français";"?"
"505";"-";"<E>";"-";"-";"-";"-";"-";"-";"regrossir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"Max a regrossi après sa maladie";"to put on weight again"
"506";"~";"se";"+";"-";"-";"-";"-";"-";"relaxer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se relaxe après la course";"?"
"507";"-";"<E>";"-";"-";"-";"-";"-";"-";"reluire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"Ida reluit facilement";"to come"
"508";"-";"en";"-";"+";"-";"-";"-";"-";"remettre";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Cet acteur en remet ";"?"
"509";"~";"se";"+";"-";"-";"-";"-";"-";"remplumer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les oiseaux se remplument à l'automne";"?"
"510";"-";"se";"+";"-";"-";"-";"-";"-";"remuer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max se remue pour réussir";"?"
"511";"-";"<E>";"-";"-";"-";"-";"-";"-";"remuer Advm";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Max remue beaucoup ";"?"
"512";"-";"<E>";"-";"-";"-";"-";"-";"-";"rengracier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida a rengracié pour détendre l'atmosphère";"to be kind again"
"513";"-";"<E>";"-";"-";"-";"-";"-";"-";"renifler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max renifle constamment";"to sniff"
"514";"-";"se";"+";"-";"-";"-";"-";"-";"renquiller";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'est renquillé après sa maladie";"?"
"515";"-";"<E>";"-";"-";"-";"-";"-";"-";"rentrer";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les élèves rentrent à l'automne";"to start school again"
"516";"~";"<E>";"-";"-";"-";"-";"-";"-";"réparer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a réparé (E+épousant Ida)";"?"
"517";"~";"<E>";"-";"-";"-";"-";"-";"-";"reparler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max reparle à Ida";"?"
"518";"-";"<E>";"-";"-";"-";"-";"-";"-";"replonger";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"Bill a replongé (E+en taule)";"to plunge again"
"519";"-";"<E>";"-";"-";"-";"-";"-";"-";"reposer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Paul repose ,en respirant doucement";"to rest"
"520";"~";"se";"+";"-";"-";"-";"-";"-";"reposer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se repose dans sa chambre";"to rest"
"521";"-";"se";"+";"-";"-";"-";"-";"-";"reprendre";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'est repris à temps";"?"
"522";"~";"<E>";"-";"-";"-";"-";"-";"-";"représenter Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max représente bien ";"?"
"523";"~";"<E>";"-";"-";"-";"-";"-";"-";"résister";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les Français résistent contre l'occupant";"?"
"524";"-";"<E>";"-";"-";"-";"-";"-";"-";"respirer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"L'alerte passée ,Max respire ";"to breathe again"
"525";"-";"se";"+";"-";"-";"-";"-";"-";"ressaisir";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'est ressaisi ";"?"
"526";"~";"ne se";"+";"-";"-";"-";"-";"+";"ressembler";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne se ressemble plus (E+après cette histoire)";"?"
"527";"~";"y";"-";"-";"-";"-";"+";"-";"rester";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max y est resté ";"?"
"528";"~";"<E>";"-";"-";"-";"-";"-";"-";"retenir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se retient ";"?"
"529";"~";"se";"+";"-";"-";"-";"-";"-";"retourner Advm";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul se retourne toujours bien";"?"
"530";"~";"<E>";"-";"-";"-";"-";"-";"-";"rétropédaler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max rétropédale pour freiner";"?"
"531";"~";"<E>";"-";"-";"-";"-";"-";"-";"réunionner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les cadres réunionnent sans arrêt";"?"
"532";"~";"<E>";"-";"-";"-";"-";"-";"-";"rêver";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max rêve ";"to dream"
"533";"~";"<E>";"-";"-";"-";"-";"-";"-";"rhétoriquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max rhétorique sur ce sujet";"?"
"534";"~";"<E>";"-";"-";"-";"-";"-";"-";"ribauder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul ribaude tous les soirs";"?"
"535";"-";"<E>";"-";"-";"-";"-";"-";"-";"riboter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a riboté toute la semaine";"to live it up"
"536";"~";"<E>";"-";"-";"-";"-";"-";"-";"ribouldinguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a ribouldingué toute la nuit";"?"
"537";"-";"<E>";"-";"-";"-";"-";"-";"-";"ricaner";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max ricane au fond de la classe";"to snigger"
"538";"-";"<E>";"-";"-";"-";"-";"-";"-";"rigoler";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max rigole ";"to laugh"
"539";"-";"<E>";"-";"-";"-";"-";"-";"-";"rimailler";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max rimaille ";"to write bits of verse"
"540";"~";"<E>";"-";"-";"-";"-";"-";"-";"ringarder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a ringardé en banlieue dix ans";"?"
"541";"-";"<E>";"-";"-";"-";"-";"-";"-";"rire";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max rit ";"to laugh"
"542";"-";"<E>";"-";"-";"-";"-";"-";"-";"ronfler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Max a ronflé deux heures";"to snore"
"543";"-";"<E>";"-";"-";"-";"-";"-";"-";"ronfler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max ronfle pendant son sommeil";"to snore"
"544";"-";"<E>";"-";"-";"-";"-";"-";"-";"roquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max roque (E+le roi avec la tour)";"to castle"
"545";"+";"<E>";"-";"-";"-";"-";"-";"-";"roublarder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"roublard";"Max roublarde ";"to be crafty"
"546";"-";"<E>";"-";"-";"-";"-";"-";"-";"roupiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Max roupille dans le salon";"to have a snooze"
"547";"-";"<E>";"-";"-";"-";"-";"-";"-";"roupiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"Max roupille littéralement en classe";"to have a snooze"
"548";"-";"<E>";"-";"-";"-";"-";"-";"-";"ruer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"L'âne a rué";"to kick"
"549";"~";"<E>";"-";"-";"-";"-";"-";"-";"rupiner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Flo rupine en maths";"?"
"550";"-";"<E>";"-";"-";"-";"-";"-";"-";"sacrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Réal sacre comme charretier";"to swear"
"551";"~";"<E>";"-";"-";"-";"-";"-";"-";"sangloter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max sanglote dans un coin";"?"
"552";"~";"<E>";"-";"-";"-";"-";"-";"-";"sarabander";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les copains ont sarabandé toute la nuit";"?"
"553";"~";"<E>";"-";"-";"-";"-";"-";"-";"satyriser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max satyrise dans les parkings";"?"
"554";"-";"<E>";"-";"-";"-";"-";"-";"-";"saucissonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max saucissonne sur un coin de table";"to picnic"
"555";"-";"la";"-";"-";"-";"+";"-";"-";"sauter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max la saute (=il a faim)";"to be hungry"
"556";"-";"<E>";"-";"-";"-";"-";"-";"-";"scruter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max scrute au bureau de vote 41";"to scrutinize"
"557";"-";"<E>";"-";"-";"-";"-";"-";"-";"sécher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Max a séché sur son problème";"to dry up"
"558";"~";"se";"+";"-";"-";"-";"-";"-";"shooter";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se shoote à la morphine";"?"
