"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 être V-n";"N1 V";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N1 être V-n";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 =: Nconc métaphore";"N1 =: Nabs métaphore";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"475";"~";"~";"~";"~";"<E>";"-";"-";"marquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le joueur marque (l'adversaire+l'avant centre)";"?"
"476";"+";"-";"-";"-";"<E>";"-";"-";"martyriser";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"<E>";"Cet enfant martyrise les bêtes";"to martyrize"
"477";"~";"~";"~";"~";"<E>";"-";"-";"mater";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max mate la fille";"?"
"478";"+";"-";"+";"-";"<E>";"-";"-";"materner";"-";"+";"-";"-";"-";"+";"+";"+";"mère";"<E>";"Ida materne Max";"to baby"
"479";"~";"~";"~";"~";"<E>";"-";"-";"mâtiner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le chien a mâtiné la chienne";"?"
"480";"~";"~";"~";"~";"<E>";"-";"-";"maudire";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a maudit son fils";"to curse"
"481";"+";"-";"-";"-";"<E>";"-";"-";"mener";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Les femmes mènent le monde";"to lead"
"482";"~";"~";"~";"~";"<E>";"-";"-";"mener Advm";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida mène durement son personnel";"?"
"483";"~";"~";"~";"~";"<E>";"-";"-";"mignarder";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida mignarde son(enfant+style)";"?"
"484";"+";"-";"+";"-";"<E>";"-";"-";"mignoter";"-";"+";"-";"-";"-";"+";"+";"+";"?";"<E>";"Ida mignote son fils";"to take care of"
"485";"+";"-";"-";"-";"<E>";"-";"-";"molester";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Ma a molesté Bob";"to maul"
"486";"~";"~";"~";"~";"<E>";"-";"-";"monter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La pute a monté un client";"to pull"
"487";"~";"~";"~";"~";"<E>";"-";"-";"monter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"L'étalon monte la jument";"?"
"488";"~";"~";"~";"~";"<E>";"-";"-";"moquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette pièce moque les bourgeois";"?"
"489";"+";"-";"-";"-";"<E>";"-";"-";"moraliser";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max moralise sa fille";"to moralize"
"490";"+";"-";"-";"-";"<E>";"-";"-";"moucher";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a mouché Luc dans sa réponse";"to put one in one's place"
"491";"~";"~";"~";"~";"<E>";"-";"-";"mouvoir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La vengeance meut Luc";"?"
"492";"~";"~";"~";"~";"<E>";"-";"-";"mugueter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul muguette Marguerite";"?"
"493";"~";"~";"~";"~";"<E>";"-";"-";"mûrir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On l'a mûri (E+à la vodka)";"to make drunk"
"494";"~";"~";"~";"~";"<E>";"-";"-";"narguer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max nargue Luc";"?"
"495";"~";"~";"~";"~";"<E>";"-";"-";"négliger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max néglige ses amis";"?"
"496";"+";"-";"-";"-";"<E>";"-";"-";"nettoyer";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Les militaires ont nettoyé les rebelles";"to kill"
"497";"+";"-";"-";"-";"<E>";"-";"-";"niquer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Bob a niqué Flo";"to screw"
"498";"~";"~";"~";"~";"<E>";"-";"-";"noircir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ses copains ont noircit Paul au whisky";"to make drunk"
"499";"-";"+";"-";"-";"<E>";"-";"-";"nourrir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"On a nourri les enfants(E+dans cette école)";"to feed"
"500";"+";"+";"-";"-";"<E>";"-";"-";"obliger";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Cette clause oblige les deux parties";"to bind"
"501";"~";"~";"~";"~";"<E>";"-";"-";"observer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max observe (E+Les actions de)Léa";"?"
"502";"+";"-";"-";"-";"<E>";"-";"-";"occire";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Luc a occis mille Huns";"to slay"
"503";"+";"+";"-";"-";"<E>";"-";"-";"outrager";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Bob a outragé Flo";"to screw"
"504";"~";"~";"~";"~";"<E>";"-";"-";"pacifier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette mesure a pacifié (les esprits+Paul)";"?"
"505";"~";"~";"~";"~";"<E>";"-";"-";"paqueter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La bière a paqueté Luc";"?"
"506";"~";"~";"~";"~";"<E>";"-";"-";"parasiter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet individu parasite la société";"?"
"507";"+";"-";"-";"-";"<E>";"-";"-";"patafioler";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Le diable a patafiolé Luc";"?"
"508";"+";"-";"-";"-";"<E>";"-";"-";"payer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a payé l'arbitre";"to buy"
"509";"~";"~";"~";"~";"se";"+";"-";"payer";"-";"-";"+";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est payé Luc dans ce règlement de comptes";"?"
"510";"~";"~";"~";"~";"se";"+";"-";"payer";"-";"-";"+";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est payé Marie";"?"
"511";"~";"~";"~";"~";"<E>";"-";"-";"pénétrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Bob a pénétré Ida";"?"
"512";"+";"+";"-";"-";"<E>";"-";"-";"perdre";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a perdu son père à cinq ans";"to lose"
"513";"~";"~";"~";"~";"<E>";"-";"-";"perfuser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a perfusé le malade";"?"
"514";"+";"+";"-";"-";"<E>";"-";"-";"persécuter";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Ida persécute Max";"to persecute"
"515";"-";"-";"+";"-";"<E>";"-";"-";"pestiférer";"-";"+";"-";"-";"-";"+";"-";"-";"peste";"<E>";"Max a pestiféré tout le village";"to give the plague to"
"516";"~";"~";"~";"~";"<E>";"-";"-";"pied-au-cuter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a pied-au-cuté Luc";"?"
"517";"~";"~";"~";"~";"<E>";"-";"-";"piédestaliser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a piédestalisé ce chef";"?"
"518";"~";"~";"~";"~";"<E>";"-";"-";"piéger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a piégé Max dans cette combine";"?"
"519";"+";"-";"-";"-";"<E>";"-";"-";"pignoler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Sven pignole Igor";"to masturbate"
"520";"~";"~";"~";"~";"<E>";"-";"-";"piler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a pilé Luc aux échecs";"?"
"521";"+";"-";"+";"+";"<E>";"-";"-";"pinter";"-";"+";"-";"-";"-";"+";"-";"-";"pinte";"<E>";"Les apéritifs ont pinté Max";"to knock back"
"522";"~";"~";"~";"~";"<E>";"-";"-";"piper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a pipé deux michés";"to do a blow job to"
"523";"~";"~";"~";"~";"<E>";"-";"-";"piquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a piqué son vieux chien";"?"
"524";"~";"~";"~";"~";"<E>";"-";"-";"piquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ritou a piqué Paulo(E+avec son surin)";"to stab"
"525";"~";"~";"~";"~";"<E>";"-";"-";"piquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Son épaule(le+lui) pique ";"?"
"526";"~";"~";"~";"~";"<E>";"-";"-";"pistonner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a pistonné Ida auprès de Luc";"?"
"527";"+";"-";"-";"-";"<E>";"-";"-";"plaquer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Ida a plaqué Max";"to chuck"
"528";"~";"~";"~";"~";"<E>";"-";"-";"plier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Mon histoire l'a plié ";"?"
"529";"+";"-";"-";"-";"<E>";"-";"-";"plomber";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Bob a plombé Riton au magnum";"to bump off"
"530";"~";"~";"~";"~";"<E>";"-";"-";"plomber";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Flo a plombé tout le service";"?"
"531";"+";"-";"-";"-";"<E>";"-";"-";"poivrer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Lola a poivré toute la chambrée";"?"
"532";"~";"~";"~";"~";"<E>";"-";"-";"poivrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a poivré Paul au gin";"to make drunk"
"533";"~";"~";"~";"~";"<E>";"-";"-";"pomper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La pute a pompé Luc (E+pour 50 balles)";"?"
"534";"+";"-";"-";"-";"<E>";"-";"-";"posséder";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le Démon du jeu possède Ida";"to possess"
"535";"~";"~";"~";"~";"<E>";"-";"-";"posséder";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a possédé sauvagement Ida";"?"
"536";"+";"-";"-";"-";"<E>";"-";"-";"pouponner";"-";"+";"-";"+";"-";"+";"-";"-";"<E>";"poupon";"Ida pouponne (E+son marmot)";"to take care of"
"537";"~";"~";"~";"~";"<E>";"-";"-";"pourfendre";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a pourfendu son adversaire";"?"
"538";"~";"~";"~";"~";"<E>";"-";"-";"pourvoir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a pourvu sa fille(E+en la mariant)";"?"
"539";"+";"-";"-";"-";"<E>";"-";"-";"pousser";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida pousse son fils en Maths";"to push"
"540";"+";"-";"-";"-";"<E>";"-";"-";"pousser";"-";"+";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Le journaliste a poussé Luc sur cette question";"?"
"541";"+";"-";"-";"-";"<E>";"-";"-";"pratiquer";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max pratique beaucoup de gens bizarres";"to frequent"
"542";"+";"-";"-";"-";"<E>";"-";"-";"prêcher";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max prêche à Notre Dame";"to preach"
"543";"+";"-";"-";"-";"<E>";"-";"-";"prendre";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La migraine a pris Paul";"to catch"
"544";"~";"~";"~";"~";"<E>";"-";"-";"prendre Advm";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a pris Léa de manière habile";"?"
"545";"~";"~";"~";"~";"<E>";"-";"-";"prendre Advt";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le médecin a pris Paul à 5 heures";"?"
"546";"+";"-";"-";"-";"<E>";"-";"-";"promener";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'orateur promène l'auditoire";"to take for a ride"
"547";"+";"-";"-";"-";"<E>";"-";"-";"protéger";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le directeur protège Max";"to protect"
"548";"~";"~";"~";"~";"<E>";"-";"-";"provoquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida provoque Luc";"?"
"549";"~";"~";"~";"~";"<E>";"-";"-";"pschuter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les élèves ont pschuté le prof";"?"
"550";"+";"-";"+";"-";"<E>";"-";"-";"psychanalyser";"-";"+";"-";"-";"+";"+";"-";"+";"psychanalyste";"<E>";"Max psychanalyse Dora";"to psychoanalyze"
"551";"~";"~";"~";"~";"<E>";"-";"-";"pulvériser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a pulvérisé son adversaire";"?"
"552";"+";"-";"-";"-";"<E>";"-";"-";"purger";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"(Ce médicament+Max)a purgé le malade";"to purge"
"553";"+";"-";"-";"-";"<E>";"-";"-";"questionner";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Les inquisiteurs questionnent l'hérétique";"to put to the question"
"554";"+";"+";"-";"-";"<E>";"-";"-";"quitter";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Ida a quitté Max";"to leave"
"555";"~";"~";"~";"~";"ne";"-";"+";"quitter";"+";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La peur ne quitte pas Max";"?"
"556";"+";"-";"-";"-";"<E>";"-";"-";"raccourcir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"On a raccourci le condamné ce matin";"to guillotine"
"557";"~";"~";"~";"~";"<E>";"-";"-";"raccrocher";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida raccroche les michés dans la rue";"?"
"558";"+";"-";"-";"-";"<E>";"-";"-";"racketter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Bob a racketté les blanchisseries";"to racketeer"
"559";"~";"~";"~";"~";"<E>";"-";"-";"racoler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida racole des michés";"to accost"
"560";"+";"-";"-";"-";"<E>";"-";"-";"racoler";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max racole des volontaires pour son parti";"to solicit"
"561";"~";"~";"~";"~";"<E>";"-";"-";"railler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max raille l'obstination de Luc";"?"
"562";"+";"-";"-";"-";"<E>";"-";"-";"raisonner";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a raisonné Ida";"to reason with"
"563";"~";"~";"~";"~";"<E>";"-";"-";"ramoner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ramone une nana";"to screw"
"564";"+";"-";"-";"-";"<E>";"-";"-";"rancarder";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rancardé Ida";"to date"
"565";"~";"~";"~";"~";"<E>";"-";"-";"ranimer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a ranimé le noyé";"?"
"566";"+";"-";"-";"-";"<E>";"-";"-";"rappeler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le public a rappelé Bob trois fois";"to call back"
"567";"~";"~";"~";"~";"<E>";"-";"-";"ratatiner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a ratatiné Riton";"?"
"568";"~";"~";"~";"~";"ne";"-";"+";"rater";"+";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max n'a pas raté Ida";"?"
"569";"~";"~";"~";"~";"<E>";"-";"-";"ratiboiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a ratiboisé le loup d'une seule balle";"?"
"570";"+";"-";"-";"-";"<E>";"-";"-";"ratonner";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"raton";"Les flics ont ratonné les étrangers";"to beat up"
"571";"~";"~";"~";"~";"<E>";"-";"-";"ravir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce(disque+spectacle) ravit Paul";"?"
"572";"~";"~";"~";"~";"<E>";"-";"-";"réanimer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le chirurgien a réanimé le coeur du malade";"?"
"573";"~";"~";"~";"~";"<E>";"-";"-";"rebuffer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a rebuffé (E+les demandes de)Paul";"?"
"574";"+";"-";"-";"-";"<E>";"-";"-";"recevoir Advm";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ida a mal reçu Max";"?"
"575";"~";"~";"~";"~";"<E>";"-";"-";"rechercher";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max recherche les gens puissants";"?"
"576";"~";"~";"~";"~";"<E>";"-";"-";"reconnaître";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a reconnu son bâtard";"?"
"577";"~";"~";"~";"~";"<E>";"-";"-";"rectifier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a rectifié Paul au gin";"to make drunk"
"578";"~";"~";"~";"~";"<E>";"-";"-";"rectifier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a rectifié Bob";"?"
"579";"+";"-";"-";"-";"<E>";"-";"-";"récupérer";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"La droite a récupéré cet homme politique";"to take over"
"580";"+";"-";"-";"+";"<E>";"-";"-";"récupérer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"On a récupéré cet(ex-détenu+handicapé)";"to recapture"
"581";"+";"+";"-";"+";"<E>";"-";"-";"réduire";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"On a réduit l' (opposition+ennemi)";"to quell"
"582";"~";"~";"~";"~";"ne";"-";"+";"refaire";"+";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est con, on ne le refera pas ";"?"
"583";"+";"-";"-";"-";"<E>";"-";"-";"refroidir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Paulo a refroidi Bob";"to bump off"
"584";"+";"+";"-";"-";"<E>";"-";"-";"réhabiliter";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"La cour a réhabilité Max";"to rehabilitate"
"585";"+";"-";"-";"-";"<E>";"-";"-";"relancer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ce vendeur a relancé Max";"to harass"
"586";"+";"-";"-";"-";"<E>";"-";"-";"remballer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Le directeur a remballé Max";"to rebuff"
"587";"~";"~";"~";"~";"<E>";"-";"-";"rembarrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a rembarré Marie de ce qu'elle se plaignait";"to rebuff"
"588";"+";"-";"-";"-";"<E>";"-";"-";"remercier";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Gaétan a remercié son domestique";"to dismiss"
"589";"+";"-";"-";"-";"<E>";"-";"-";"remettre";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a fini par remettre Ida";"to remember"
"590";"~";"~";"~";"~";"<E>";"-";"-";"remiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc a remisé Ida";"?"
"591";"~";"~";"~";"~";"<E>";"-";"-";"remonter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a remonté son concurrent dans la ligne droite";"?"
"592";"~";"~";"~";"~";"<E>";"-";"-";"remplacer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet interne remplace le médecin";"?"
"593";"~";"~";"~";"~";"<E>";"-";"-";"remplumer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce régime a remplumé Max";"?"
"594";"+";"-";"-";"-";"<E>";"-";"-";"rencarder";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rencardé Ida";"to date"
"595";"+";"-";"-";"-";"<E>";"-";"-";"rencontrer";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Ali a rencontré le Kid pour le titre";"to meet"
"596";"+";"-";"-";"-";"<E>";"-";"-";"rencontrer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le ministre a rencontré les syndicats";"to meet"
"597";"~";"~";"~";"~";"<E>";"-";"-";"renier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul renie (son fils+Dieu)";"?"
"598";"+";"+";"-";"-";"<E>";"-";"-";"renverser";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce parti a renversé le(gouvernement+président)";"to throw out of office"
"599";"+";"-";"-";"-";"<E>";"-";"-";"repasser";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paulo a repassé Bob";"to bump off"
"600";"+";"+";"-";"-";"<E>";"-";"-";"repêcher";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Le jury a repêché ce candidat";"to let through"
"601";"-";"+";"-";"-";"<E>";"-";"-";"reprendre";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Son rhume a repris Max";"?"
"602";"+";"-";"-";"-";"<E>";"-";"-";"répudier";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Ali a répudié sa seconde femme";"to repudiate"
"603";"~";"~";"~";"~";"<E>";"-";"-";"respecter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a respecté (E+la vertu)de Léa";"?"
"604";"~";"~";"~";"~";"<E>";"-";"-";"ressusciter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Jésus a ressuscité Lazare";"to respawn"
"605";"+";"-";"-";"-";"<E>";"-";"-";"retapisser";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Riton a retapissé Max";"to remember"
"606";"~";"~";"~";"~";"<E>";"-";"-";"retarder";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les encombrements ont retardé Max de dix minutes";"?"
"607";"~";"~";"~";"~";"ne";"-";"+";"retenir pas";"+";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Je ne vous retiens pas ";"?"
"608";"~";"~";"~";"~";"<E>";"-";"-";"retourner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a retourné (cet espion+Luc)";"?"
"609";"+";"+";"-";"-";"<E>";"-";"-";"réveiller";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Le soleil a réveillé Max très tôt";"to wake up"
"610";"~";"~";"~";"~";"<E>";"-";"-";"révéler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce livre a révélé (Cette artiste+Max)au public";"?"
"611";"~";"~";"~";"~";"<E>";"-";"-";"révérer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max révère son maître";"?"
"612";"+";"-";"-";"-";"<E>";"-";"-";"révolvériser";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Flo a révolvérisé Bob";"to gun down"
"613";"~";"~";"~";"~";"<E>";"-";"-";"rincer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La pluie a rincé Ida";"?"
"614";"~";"~";"~";"~";"<E>";"-";"-";"rosser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"César a rossé Pompée";"?"
"615";"+";"-";"-";"-";"<E>";"-";"-";"rosser";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rossé Bob";"to thrash"
"616";"+";"-";"-";"-";"<E>";"-";"-";"rouer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a roué Jehan en place de grève";"to put on the wheel"
"617";"-";"+";"-";"-";"<E>";"-";"-";"rouiller";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"L'inaction a rouillé Max";"to make rusty"
"618";"+";"-";"-";"-";"<E>";"-";"-";"rudoyer";"-";"+";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a rudoyé Ida";"to treat harshly"
"619";"+";"+";"-";"-";"<E>";"-";"-";"ruiner";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"La crise a ruiné Max";"to ruin"
"620";"+";"-";"-";"-";"<E>";"-";"-";"sabrer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"On a sabré Max à l'examen";"to give a hammering to"
"621";"+";"-";"-";"-";"<E>";"-";"-";"sacquer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Le jury a sacqué Max à l'examen";"to give a hammering to"
"622";"+";"-";"-";"-";"<E>";"-";"-";"sacrifier";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"On a sacrifié l'enfant|pour sauver la mère|";"to sacrifice"
"623";"+";"-";"-";"-";"<E>";"-";"-";"saillir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Jupiter saillit Io";"to cover"
"624";"~";"~";"~";"~";"<E>";"-";"-";"saisir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le froid a saisi Paul";"?"
"625";"+";"-";"-";"-";"<E>";"-";"-";"saluer";"-";"+";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a salué Ida(E+d'un geste de la main)";"to greet"
"626";"~";"~";"~";"~";"<E>";"-";"-";"saquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le jury a saqué Max à l'examen";"to give a hammering to"
"627";"~";"~";"~";"~";"<E>";"-";"-";"saucer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La pluie a saucé les passants";"?"
"628";"~";"~";"~";"~";"<E>";"-";"-";"sauter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les flics ont sauté Paulo";"?"
"629";"~";"~";"~";"~";"<E>";"-";"-";"sauter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a sauté Ida";"to screw"
"630";"+";"-";"-";"-";"<E>";"-";"-";"sauter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a sauté Ida";"to screw"
"631";"~";"~";"~";"~";"<E>";"-";"-";"sauver";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a sauvé trois personnes";"to save"
"632";"~";"~";"~";"~";"<E>";"-";"-";"savonner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a passé un savon à Luc";"?"
"633";"+";"-";"+";"-";"<E>";"-";"-";"scolariser";"-";"+";"-";"-";"-";"+";"-";"-";"école";"<E>";"Cette mesure a scolarisé les enfants";"to provide with schooling"
