"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"thèmeN1";"N0 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"V-n instrument";"N1 être Vpp W";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"488";"+";"-";"<E>";"-";"-";"ixer";"-";"+";"-";"film";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"La commission a ixé ce film"
"489";"~";"~";"<E>";"-";"-";"jachérer";"-";"+";"-";"terre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a jachéré cette terre"
"490";"~";"~";"<E>";"-";"-";"jacter";"-";"+";"-";"langue";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max jacte une langue"
"491";"+";"-";"<E>";"-";"-";"jaspiner";"-";"+";"-";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max jaspine l'occitan"
"492";"+";"-";"<E>";"-";"-";"jeter";"-";"+";"-";"principes";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a jeté les bases d'une théorie"
"493";"-";"+";"<E>";"-";"-";"jouer";"-";"+";"-";"film";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Max joue un film d'horreur"
"494";"+";"-";"<E>";"-";"-";"jouer";"-";"+";"-";"partie";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max joue une partie de bridge"
"495";"+";"-";"<E>";"-";"-";"jouer";"-";"+";"-";"rôle";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max joue le rôle de Napoléon"
"496";"+";"-";"<E>";"-";"-";"jouer";"-";"+";"-";"surprise";"-";"-";"-";"-";"+";"-";"-";"jeu";"?";"Max a joué la surprise"
"497";"~";"~";"<E>";"-";"-";"jouer";"-";"+";"-";"carte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max joue une carte"
"498";"~";"~";"<E>";"-";"-";"jouer";"-";"+";"-";"adversaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max joue un adversaire"
"499";"~";"~";"<E>";"-";"-";"jouer";"-";"+";"-";"musique";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max joue le morceau de musique"
"500";"~";"~";"<E>";"-";"-";"juger";"-";"+";"-";"litige";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le tribunal juge les délits mineurs"
"501";"~";"~";"<E>";"-";"-";"juger";"-";"+";"-";"match";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a jugé ce match"
"502";"~";"~";"<E>";"-";"-";"juger";"-";"+";"-";"différend";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a jugé le différend"
"503";"~";"~";"<E>";"-";"-";"kilométrer";"-";"+";"-";"route";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a kilométré la nationale de bornes"
"504";"~";"~";"<E>";"-";"-";"labialiser";"-";"+";"-";"phénomène";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On labialise ce phénomène"
"505";"~";"~";"<E>";"-";"-";"lâcher";"-";"+";"-";"ceinture";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a lâché sa ceinture d'un cran"
"506";"+";"-";"<E>";"-";"-";"lancer";"-";"+";"-";"bateau";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"On a lancé le bateau"
"507";"+";"-";"<E>";"-";"-";"lancer";"-";"+";"-";"emprunt";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a lancé un emprunt"
"508";"+";"+";"<E>";"-";"-";"lancer";"-";"+";"-";"moteur";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a lancé le moteur"
"509";"~";"~";"<E>";"-";"-";"larguer";"-";"+";"-";"attache";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a largué les attaches"
"510";"+";"-";"<E>";"-";"-";"laver";"-";"+";"-";"argent";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Paulo a lavé l'argent de la drogue"
"511";"~";"~";"<E>";"-";"-";"laver";"-";"+";"-";"couleur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'artiste a lavé les couleurs de son dessin"
"512";"~";"~";"<E>";"-";"-";"lemmatiser";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a lemmatisé ce texte"
"513";"~";"~";"<E>";"-";"-";"lessiver";"-";"+";"-";"adversaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les bleus ont lessivé l'adversaire"
"514";"+";"-";"<E>";"-";"-";"lever";"-";"+";"-";"courrier";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Le facteur lève le courrier à deux heures"
"515";"+";"-";"<E>";"-";"-";"lever";"-";"+";"-";"impôt";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"L'état a levé l'impôt sur les motos"
"516";"~";"~";"<E>";"-";"-";"lever";"-";"+";"-";"armée";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le chef a levé une armée"
"517";"~";"~";"<E>";"-";"-";"libeller";"-";"+";"-";"acte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a libellé l'acte"
"518";"~";"~";"<E>";"-";"-";"libérer";"-";"+";"-";"temps";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a libéré du temps"
"519";"~";"~";"<E>";"-";"-";"libérer";"-";"+";"-";"mécanisme";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";" Libérer un mécanisme"
"520";"~";"~";"<E>";"-";"-";"lier";"-";"+";"-";"mouvement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le gymnase a lié ses mouvements"
"521";"~";"~";"<E>";"-";"-";"lier";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max lie ces deux mots"
"522";"~";"~";"<E>";"-";"-";"lifter";"-";"+";"-";"peau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le chirurgien a lifté sa peau"
"523";"+";"-";"<E>";"-";"-";"liquider";"-";"+";"-";"produit";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a liquidé son produit"
"524";"~";"~";"<E>";"-";"-";"liquider";"-";"+";"-";"valeurs";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a liquidé ses valeurs"
"525";"~";"~";"<E>";"-";"-";"liquider";"-";"+";"-";"entreprise";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a liquidé son entreprise"
"526";"+";"-";"<E>";"-";"-";"lire";"-";"+";"-";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max lit couramment une langue"
"527";"~";"~";"<E>";"-";"-";"lire";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max lit (cet auteur+cette oeuvre) "
"528";"~";"~";"<E>";"-";"-";"lire";"-";"+";"-";"idéogramme";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max lit des idéogrammes"
"529";"+";"-";"<E>";"-";"-";"lisser";"-";"+";"-";"courbe";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a glissé la courbe des températures"
"530";"+";"-";"<E>";"-";"-";"louer";"-";"+";"-";"place";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a loué une place de train"
"531";"~";"~";"<E>";"-";"-";"louper";"-";"+";"-";"occasion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Flo a loupé une occasion"
"532";"~";"~";"<E>";"-";"-";"lustrer";"-";"+";"-";"coude";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Sa veste lustre aux coudes"
"533";"~";"~";"<E>";"-";"-";"luxer";"-";"+";"-";"articulation";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'effort lui a luxé l'articulation de l'épaule"
"534";"~";"~";"<E>";"-";"-";"mâcher";"-";"+";"-";"étoffe";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le frottement a mâché l'étoffe"
"535";"~";"~";"<E>";"-";"-";"maintenir";"-";"+";"-";"machine";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette entreprise maintient la machine"
"536";"~";"~";"<E>";"-";"-";"maîtriser";"-";"+";"-";"technique";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les hommes ont maîtrisé (l'atome+une technique) "
"537";"~";"~";"<E>";"-";"-";"maîtriser";"-";"+";"-";"feu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a maîtrisé (l'incendie+le feu)"
"538";"~";"~";"<E>";"-";"-";"maîtriser";"-";"+";"-";"système";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a maîtrisé ce système de mesure"
"539";"~";"~";"<E>";"-";"-";"maîtriser Advm";"-";"+";"-";"véhicule";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul maîtrise bien son véhicule"
"540";"~";"~";"<E>";"-";"-";"malmener";"-";"+";"-";"mécanique";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max malmène sa mécanique"
"541";"~";"~";"<E>";"-";"-";"maltraiter";"-";"+";"-";"mécanique";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max maltraite sa mécanique"
"542";"~";"~";"<E>";"-";"-";"manger";"-";"+";"-";"kilomètre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La voiture mange des kilomètres"
"543";"~";"~";"<E>";"-";"-";"manger";"-";"+";"-";"argent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a mangé son argent"
"544";"~";"~";"<E>";"-";"-";"manier";"-";"+";"-";"argent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max manie beaucoup d'argent"
"545";"+";"-";"<E>";"-";"-";"manipuler";"-";"+";"-";"information";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"La radio manipule l'information"
"546";"~";"~";"<E>";"-";"-";"manipuler";"-";"+";"-";"carte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max manipule des cartes"
"547";"~";"~";"<E>";"-";"-";"manoeuvrer";"-";"+";"-";"véhicule";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max manoeuvre le véhicule"
"548";"+";"-";"<E>";"-";"-";"manquer";"-";"+";"-";"bus";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Paul a manqué le bus"
"549";"+";"-";"<E>";"-";"-";"manquer";"-";"+";"-";"marche";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a manqué une marche"
"550";"~";"~";"<E>";"-";"-";"manquer";"-";"+";"-";"école";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a manqué l'école"
"551";"~";"~";"<E>";"-";"-";"manquer";"-";"+";"-";"occasion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a manqué l'occasion"
"552";"~";"~";"<E>";"-";"-";"maquignonner";"-";"+";"-";"cheval";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul maquignonne le cheval"
"553";"~";"~";"<E>";"-";"-";"maquiller";"-";"+";"-";"papier";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a maquillé ses papiers"
"554";"~";"~";"<E>";"-";"-";"maquiller";"-";"+";"-";"carte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a maquillé les cartes"
"555";"~";"~";"<E>";"-";"-";"maroufler";"-";"+";"-";"toile";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'artisan a marouflé sa toile"
"556";"+";"-";"<E>";"-";"-";"marquer";"-";"+";"-";"cadence";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max marque la cadence"
"557";"~";"~";"<E>";"-";"-";"marquer";"-";"+";"-";"taille";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette robe marque la taille"
"558";"+";"-";"<E>";"-";"-";"massacrer";"-";"+";"-";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Bob massacre une langue"
"559";"~";"~";"<E>";"-";"-";"massacrer";"-";"+";"-";"adversaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ali a massacré son adversaire"
"560";"~";"~";"<E>";"-";"-";"massacrer";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La critique a massacré cet oeuvre"
"561";"~";"~";"<E>";"-";"-";"masser";"-";"+";"-";"boule";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le joueur a massé la boule"
"562";"~";"~";"<E>";"-";"-";"massifier";"-";"+";"-";"culture";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a massifié la culture"
"563";"~";"~";"<E>";"-";"-";"matraquer";"-";"+";"-";"client";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce restaurateur matraque le client"
"564";"~";"~";"<E>";"-";"-";"médicaliser";"-";"+";"-";"crime";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette tendance médicalise les crimes"
"565";"+";"-";"<E>";"-";"-";"médicaliser";"-";"+";"-";"région";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"L'état médicalise la région"
"566";"~";"~";"<E>";"-";"-";"mégisser";"-";"+";"-";"peau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On mégisse les peaux"
"567";"+";"-";"<E>";"-";"-";"ménager";"-";"+";"-";"ressources";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Max ménage ses ressources"
"568";"+";"-";"<E>";"-";"-";"mener";"-";"+";"-";"groupe";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max mène un groupe"
"569";"+";"-";"<E>";"-";"-";"mépriser";"-";"+";"-";"danger";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Le pilote méprise le danger"
"570";"~";"~";"<E>";"-";"-";"mévendre";"-";"+";"-";"marchandise";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le commerçant a mévendu ses marchandises"
"571";"~";"~";"<E>";"-";"-";"mirer";"-";"+";"-";"oeuf";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max mire les oeufs"
"572";"~";"~";"<E>";"-";"-";"modéliser";"-";"+";"-";"procéssus";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a modélisé ce procéssus"
"573";"~";"~";"<E>";"-";"-";"modifier";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'adjectif modifie le mot"
"574";"~";"~";"<E>";"-";"-";"mollir";"-";"+";"-";"<E>";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le cordage mollit "
"575";"~";"~";"<E>";"-";"-";"monétariser";"-";"+";"-";"économie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a monétarisé l'économie"
"576";"~";"~";"<E>";"-";"-";"monophtonguer";"-";"+";"-";"voyelle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a tendance a monophtongué ce groupe de voyelles"
"577";"+";"-";"<E>";"-";"-";"monter";"-";"+";"-";"sauce";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a monté une sauce béarnaise"
"578";"~";"~";"<E>";"-";"-";"monter";"-";"+";"-";"cheval";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max monte un cheval rétif"
"579";"~";"~";"<E>";"-";"-";"monter";"-";"+";"-";"spectacle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max monte un spectacle"
"580";"~";"~";"<E>";"-";"-";"monter";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max monte un film"
"581";"~";"~";"<E>";"-";"-";"monter";"-";"+";"-";"volume";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max monte (E+volume de la)radio"
"582";"~";"~";"<E>";"-";"-";"mortifier";"-";"+";"-";"gibier";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le cuisinier mortifie le gibier"
"583";"~";"~";"<E>";"-";"-";"moucher";"-";"+";"-";"cordage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le marin mouche le cordage"
"584";"+";"-";"<E>";"-";"-";"moudre";"-";"+";"-";"texte";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max moud du texte"
"585";"~";"~";"<E>";"-";"-";"mouiller";"-";"+";"-";"lit";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a mouillé son lit"
"586";"~";"~";"<E>";"-";"-";"mouiller";"-";"+";"-";"vin";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a mouillé son vin(E+d'eau)"
"587";"~";"~";"<E>";"-";"-";"mouler";"-";"+";"-";"lettre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul moule ses lettres"
"588";"+";"-";"<E>";"-";"-";"mouliner";"-";"+";"-";"texte";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Max mouline son texte"
"589";"+";"-";"<E>";"-";"-";"nager";"-";"+";"-";"nage";"-";"-";"-";"-";"+";"-";"-";"nage";"?";"Max nage différentes nages"
"590";"+";"-";"<E>";"-";"-";"narguer";"-";"+";"-";"difficultés";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max nargue les difficultés"
"591";"+";"-";"<E>";"-";"-";"négocier";"-";"+";"-";"valeurs";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a négocié des valeurs boursières"
"592";"~";"~";"<E>";"-";"-";"négocier";"-";"+";"-";"virage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a négocié un virage"
"593";"~";"~";"<E>";"-";"-";"nier";"-";"+";"-";"témoignage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a nié ce témoignage"
"594";"+";"-";"<E>";"-";"-";"noircir";"-";"+";"-";"pages";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a noircit dix âges"
"595";"~";"~";"<E>";"-";"-";"normaliser";"-";"+";"-";"pays";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La junte a normalisé le pays"
"596";"~";"~";"<E>";"-";"-";"notarier";"-";"+";"-";"acte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le notaire a notarié cet acte"
"597";"~";"~";"<E>";"-";"-";"nouer";"-";"+";"-";"intrigue";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'auteur a noué une intrigue au 3ème acte"
"598";"~";"~";"<E>";"-";"-";"nourrir";"-";"+";"-";"enfant";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Marie nourrit son enfant"
"599";"+";"-";"<E>";"-";"-";"n-upler";"-";"+";"-";"classe";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Cette mesure va n-upler le déficit"
"600";"~";"~";"<E>";"-";"-";"obscurcir";"-";"+";"-";"vue";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette opération a obscurcit la vue de Louis"
"601";"~";"~";"<E>";"-";"-";"obscurcir";"-";"+";"-";"jugement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La cupidité a obscurcit son jugement"
"602";"+";"-";"<E>";"-";"-";"observer";"-";"+";"-";"attitude";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max observe une attitude prudente"
"603";"~";"~";"<E>";"-";"-";"observer";"-";"+";"-";"règle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max observe les règles"
"604";"+";"-";"<E>";"-";"-";"occuper";"-";"+";"-";"fonction";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max occupe une fonction importante"
"605";"+";"-";"<E>";"-";"-";"occuper";"-";"+";"-";"temps";"+";"-";"-";"-";"-";"-";"-";"<E>";"?";"Ces réunions occupent le temps"
"606";"+";"-";"<E>";"-";"-";"offenser";"-";"+";"-";"honneur";"+";"-";"-";"+";"-";"+";"-";"<E>";"?";"Cet article offense l'honneur de Max"
"607";"~";"~";"<E>";"-";"-";"offenser";"-";"+";"-";"sens";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cet lumière offense les sens de Max"
"608";"~";"~";"<E>";"-";"-";"offenser";"-";"+";"-";"justice";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul offense la justice"
"609";"~";"~";"<E>";"-";"-";"offenser";"-";"+";"-";"loi";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul offense la loi"
"610";"~";"~";"<E>";"-";"-";"offrir";"-";"+";"-";"avantage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette solution offre des avantages"
"611";"+";"-";"<E>";"-";"-";"orchestrer";"-";"+";"-";"mélodie";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a orchestré cette mélodie"
"612";"+";"-";"<E>";"-";"-";"ordonnancer";"-";"+";"-";"cérémonie";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Flo a ordonnancé la cérémonie"
"613";"~";"~";"<E>";"-";"-";"ordonnancer";"-";"+";"-";"dépenses";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le comptable a ordonnancé les dépenses"
"614";"~";"~";"<E>";"-";"-";"orienter";"-";"+";"-";"écrit";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max oriente ses écrits"
"615";"~";"~";"<E>";"-";"-";"ouater";"-";"+";"-";"bruit";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La moquette ouate les bruits"
"616";"~";"~";"<E>";"-";"-";"ouvrir";"-";"+";"-";"front";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le coup lui a ouvert le front"
"617";"~";"~";"<E>";"-";"-";"ouvrir";"-";"+";"-";"voyelle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul ouvre les voyelles"
"618";"~";"~";"<E>";"-";"-";"pacifier";"-";"+";"-";"pays";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"César a pacifié le pays"
"619";"~";"~";"<E>";"-";"-";"palatiser";"-";"+";"-";"phonème";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On palatise ce phonème"
"620";"+";"-";"<E>";"-";"-";"palper";"-";"+";"-";"argent";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a palpé l'argent"
"621";"~";"~";"<E>";"-";"-";"panser";"-";"+";"-";"cheval";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le lad a pansé le cheval"
"622";"+";"-";"<E>";"-";"-";"paralyser";"-";"+";"-";"processus";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Cette grève paralyse le processus"
"623";"~";"~";"<E>";"-";"-";"parcourir";"-";"+";"-";"distance";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a parcouru la distance en 1à secondes"
"624";"+";"-";"<E>";"-";"-";"parler";"-";"+";"-";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max parle dix langues"
"625";"~";"~";"<E>";"-";"-";"parodier";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a parodié cette oeuvre"
"626";"~";"~";"<E>";"-";"-";"partager";"-";"+";"-";"opinion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max partage mon opinion"
"627";"~";"~";"<E>";"-";"-";"partager";"-";"+";"-";"sentiment";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max partage mon sentiment"
"628";"-";"+";"<E>";"-";"-";"passer";"-";"+";"-";"film";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Ce cinéma passe un film d'horreur"
"629";"~";"~";"<E>";"-";"-";"passer";"-";"+";"-";"vêtement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a passé un pull"
"630";"~";"~";"<E>";"-";"-";"passer";"-";"+";"-";"liquide";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a passé la soupe dans la passoire"
"631";"~";"~";"<E>";"-";"-";"pasticher";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a pastiché cette oeuvre"
"632";"~";"~";"<E>";"-";"-";"pêcher";"-";"+";"-";"poisson";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pêche le thon"
"633";"~";"~";"<E>";"-";"-";"pédicurer";"-";"+";"-";"pied";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a pédicuré les pieds de Marie"
"634";"~";"~";"<E>";"-";"-";"peigner";"-";"+";"-";"cheveux";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max peigne les cheveux de Ida"
"635";"~";"~";"<E>";"-";"-";"pencher";"-";"+";"-";"tête";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max penche la tête"
"636";"+";"-";"<E>";"-";"-";"penser";"-";"+";"-";"paroles";"-";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max pense ses paroles"
"637";"~";"~";"<E>";"-";"-";"percer";"-";"+";"-";"oreille";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce bruit perce les oreilles"
"638";"~";"~";"<E>";"-";"-";"percer";"-";"+";"-";"rue";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";" Percer une rue"
"639";"~";"~";"<E>";"-";"-";"percevoir";"-";"+";"-";"impôt";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max perçoit les impôts"
"640";"+";"-";"<E>";"-";"-";"perdre";"-";"+";"-";"Npc";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a perdu un oeil à la foire"
"641";"~";"~";"<E>";"-";"-";"perdre";"-";"+";"-";"compétition";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a perdu la course"
"642";"~";"~";"<E>";"-";"-";"perdre poss N";"-";"+";"-";"<E>";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max perd son pantalon"
"643";"~";"~";"<E>";"-";"-";"permanenter";"-";"+";"-";"cheveux";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a permanenté les cheveux d'Ida"
"644";"+";"-";"<E>";"-";"-";"perpétrer";"-";"+";"-";"crime";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Max a perpétré un crime"
"645";"~";"~";"<E>";"-";"-";"peser";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a pesé ses mots"
"646";"~";"~";"<E>";"-";"-";"photocopier";"-";"+";"-";"document";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a photocopié le document"
"647";"~";"~";"<E>";"-";"-";"pignocher";"-";"+";"-";"aliment";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pignoche les aliments"
"648";"~";"~";"<E>";"-";"-";"pignocher";"-";"+";"-";"tableau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pignoche un tableau"
"649";"~";"~";"<E>";"-";"-";"pincer";"-";"+";"-";"plante";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a pincé cette plante"
"650";"+";"-";"<E>";"-";"-";"pirater";"-";"+";"-";"enregistrement";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max pirate des enregistrements"
"651";"+";"-";"<E>";"-";"-";"pisser";"-";"+";"-";"pique";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max pisse du pique"
"652";"~";"~";"<E>";"-";"-";"pisser";"-";"+";"-";"copie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pisse de la copie"
"653";"+";"-";"<E>";"-";"-";"placer";"-";"+";"-";"corps";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Le danseur place son corps correctement"
